  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    215929.2600,       2.49407512,       2.20000000,       0.27721000,       0.24452431
         6,    198703.9300,       2.49406356,       2.20000000,       0.30124000,       0.26572218
         7,    217297.9600,       2.49408774,       2.20000000,       0.27546600,       0.24298472
         8,    222184.4500,       2.49408270,       2.20000000,       0.26940700,       0.23764064
        10,    246377.5700,       2.49403590,       2.20000000,       0.24294800,       0.21430550
        12,    251907.1600,       2.49408513,       2.20000000,       0.23761900,       0.20960062
        14,    239444.9900,       2.49408433,       2.20000000,       0.24998700,       0.22051035
        17,    242186.1800,       2.49408946,       2.20000000,       0.24715800,       0.21801447
        20,    263163.5700,       2.49408469,       2.20000000,       0.22745600,       0.20063601
        24,    266134.2700,       2.49407922,       2.20000000,       0.22491600,       0.19839594
        29,    268615.7000,       2.49408758,       2.20000000,       0.22283900,       0.19656319
        35,    181271.6100,       2.49408718,       2.20000000,       0.33021200,       0.29127546
        42,     94761.3500,       2.49408517,       2.20000000,       0.63167200,       0.55718963
        50,     94125.0400,       2.49408826,       2.20000000,       0.63594300,       0.56095633
        60,     91768.2500,       2.49409087,       2.20000000,       0.65227600,       0.57536284
        72,     92933.0700,       2.49408503,       2.20000000,       0.64409800,       0.56815048
        86,     94680.1800,       2.49406428,       2.20000000,       0.63220800,       0.55766710
       103,     94691.5700,       2.49408769,       2.20000000,       0.63213800,       0.55760012
       124,     92824.8500,       2.49408425,       2.20000000,       0.64484900,       0.56881310
       149,     94498.7200,       2.49408804,       2.20000000,       0.63342800,       0.55873793
       179,     94718.8600,       2.49408573,       2.20000000,       0.63195500,       0.55743914
       215,     95106.0700,       2.49407362,       2.20000000,       0.62937900,       0.55516958
       258,     94850.5000,       2.49408440,       2.20000000,       0.63107800,       0.55666584
       310,     94423.9600,       2.49408347,       2.20000000,       0.63392800,       0.55918000
       372,     95436.4600,       2.49408366,       2.20000000,       0.62720300,       0.55324792
       446,     94933.9400,       2.49408588,       2.20000000,       0.63052300,       0.55617596
       535,     94391.5500,       2.49408558,       2.20000000,       0.63414600,       0.55937182
       642,     93914.4600,       2.49408369,       2.20000000,       0.63736700,       0.56221345
       770,     89503.5600,       2.49408587,       2.20000000,       0.66877900,       0.58992107
       924,     81472.8100,       2.49408783,       2.20000000,       0.73470000,       0.64806860
      1109,     57140.0900,       2.49407977,       2.20000000,       1.04756400,       0.92404454
      1331,     45284.1700,       2.49408400,       2.20000000,       1.32183100,       1.16597043
      1597,     36723.7900,       2.49408275,       2.20000000,       1.62995100,       1.43775992
      1916,     33676.9000,       2.49408501,       2.20000000,       1.77742200,       1.56784087
      2299,     32607.3100,       2.49408416,       2.20000000,       1.83572400,       1.61926885
      2759,     32445.6000,       2.49408711,       2.20000000,       1.84487600,       1.62733979
      3311,     32448.6700,       2.49408407,       2.20000000,       1.84469800,       1.62718477
      3973,     32447.9100,       2.49402352,       2.20000000,       1.84469700,       1.62722339
      4768,     32448.5900,       2.49408500,       2.20000000,       1.84470400,       1.62718945
      5722,     32452.2600,       2.49407703,       2.20000000,       1.84448900,       1.62700500
      6866,     32420.5200,       2.49408605,       2.20000000,       1.84630200,       1.62859834
      8239,     32403.9600,       2.49408625,       2.20000000,       1.84724600,       1.62943090
      9887,     32255.4100,       2.49405755,       2.20000000,       1.85573100,       1.63693424
     11864,     31748.0900,       2.49408808,       2.20000000,       1.88540800,       1.66309187
     14237,     30056.4500,       2.49408364,       2.20000000,       1.99152000,       1.75669490
     17084,     27662.9300,       2.49408580,       2.20000000,       2.16383700,       1.90869191
     20501,     25860.2300,       2.49408335,       2.20000000,       2.31467400,       2.04174523
     24601,     24473.6000,       2.49408772,       2.20000000,       2.44582300,       2.15742636
     29521,     23094.7600,       2.49408976,       2.20000000,       2.59185000,       2.28623287
     35425,     22414.4100,       2.49408382,       2.20000000,       2.67051500,       2.35562773
     42510,     21624.4000,       2.49408078,       2.20000000,       2.76807400,       2.44168627
     51012,     21211.9800,       2.49408613,       2.20000000,       2.82190000,       2.48916023
     61214,     20764.3900,       2.49408539,       2.20000000,       2.88272700,       2.54281566
     73457,     20608.0200,       2.49408648,       2.20000000,       2.90460000,       2.56210843
     88148,     20210.9100,       2.49408526,       2.20000000,       2.96167000,       2.61245038
    105778,     20148.5600,       2.49408850,       2.20000000,       2.97083800,       2.62053396
    126934,     20151.4500,       2.49408473,       2.20000000,       2.97040800,       2.62015862
    152321,     20035.0400,       2.49408602,       2.20000000,       2.98766800,       2.63538208
    182785,     20090.8800,       2.49408566,       2.20000000,       2.97936500,       2.62805849
    219342,     19885.8500,       2.49408305,       2.20000000,       3.01008000,       2.65515456
    263210,     19996.3300,       2.49408385,       2.20000000,       2.99345100,       2.64048548
    315852,     19890.5100,       2.49408670,       2.20000000,       3.00937900,       2.65453234
    379022,     19970.8000,       2.49408532,       2.20000000,       2.99727800,       2.64385967
    454826,     19873.1300,       2.49408996,       2.20000000,       3.01201400,       2.65685316
    545791,     19949.3200,       2.49408545,       2.20000000,       3.00050600,       2.64670691
    654949,     19847.1900,       2.49408726,       2.20000000,       3.01594800,       2.66032616
    785939,     19824.6100,       2.49408627,       2.20000000,       3.01938100,       2.66335543
