  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    201314.1900,       2.49408550,       2.40000000,       0.09911200,       0.09537315
         6,    211486.1300,       2.49408726,       2.40000000,       0.09434500,       0.09078592
         7,    217627.5700,       2.49408735,       2.40000000,       0.09168300,       0.08822434
         8,    222946.0700,       2.49408571,       2.40000000,       0.08949600,       0.08611990
        10,    235055.2200,       2.49408410,       2.40000000,       0.08488500,       0.08168289
        12,    239337.4700,       2.49408375,       2.40000000,       0.08336600,       0.08022120
        14,    245426.4400,       2.49408870,       2.40000000,       0.08129800,       0.07823106
        17,    251758.5800,       2.49408077,       2.40000000,       0.07925300,       0.07626345
        20,    240164.0900,       2.49408714,       2.40000000,       0.08307900,       0.07994492
        24,    259103.7800,       2.49408373,       2.40000000,       0.07700600,       0.07410112
        29,    240852.2300,       2.49407934,       2.40000000,       0.08284200,       0.07971711
        35,    123240.3500,       2.49408207,       2.40000000,       0.16190000,       0.15579279
        42,     98666.4500,       2.49408395,       2.40000000,       0.20222300,       0.19459457
        50,    100266.0000,       2.49408525,       2.40000000,       0.19899700,       0.19149017
        60,     98175.6500,       2.49404979,       2.40000000,       0.20323200,       0.19556819
        72,    106732.1600,       2.49407930,       2.40000000,       0.18694100,       0.17988939
        86,    101242.6500,       2.49408692,       2.40000000,       0.19707800,       0.18964343
       103,     99156.0600,       2.49408587,       2.40000000,       0.20122500,       0.19363407
       124,    104284.4300,       2.49408453,       2.40000000,       0.19132900,       0.18411148
       149,     99984.3500,       2.49408549,       2.40000000,       0.19955800,       0.19202999
       179,    109189.0200,       2.49408488,       2.40000000,       0.18273500,       0.17584165
       215,    104013.3000,       2.49408146,       2.40000000,       0.19182800,       0.18459189
       258,    106119.8400,       2.49408612,       2.40000000,       0.18802000,       0.18092719
       310,    101173.9300,       2.49408239,       2.40000000,       0.19721100,       0.18977176
       372,    100745.3000,       2.49408463,       2.40000000,       0.19805100,       0.19057990
       446,    101108.7200,       2.49408532,       2.40000000,       0.19733900,       0.18989471
       535,     99932.6100,       2.49408561,       2.40000000,       0.19966100,       0.19212909
       642,     96998.1300,       2.49408625,       2.40000000,       0.20570200,       0.19794215
       770,     91234.7200,       2.49408899,       2.40000000,       0.21869600,       0.21044574
       924,     67452.1300,       2.49408501,       2.40000000,       0.29580500,       0.28464627
      1109,     43791.5100,       2.49407224,       2.40000000,       0.45562700,       0.43844151
      1331,     30965.5100,       2.49408558,       2.40000000,       0.64435200,       0.62004480
      1597,     25495.8800,       2.49408655,       2.40000000,       0.78258500,       0.75306288
      1916,     23129.3600,       2.49405270,       2.40000000,       0.86264500,       0.83011397
      2299,     22566.7000,       2.49399039,       2.40000000,       0.88413100,       0.85081098
