  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    117900.7100,       2.39432973,       1.80000000,       0.32492800,       0.24427312
         6,    109992.3300,       2.39432647,       1.80000000,       0.34829000,       0.26183647
         7,    106755.8300,       2.39432941,       1.80000000,       0.35884900,       0.26977416
         8,    117489.2200,       2.39433015,       1.80000000,       0.32606600,       0.24512860
        10,    115822.1400,       2.39433346,       1.80000000,       0.33076000,       0.24865709
        12,    113611.4800,       2.39428512,       1.80000000,       0.33718900,       0.25349537
        14,    112944.3300,       2.39433499,       1.80000000,       0.33918800,       0.25499289
        17,    118440.7500,       2.39432871,       1.80000000,       0.32344700,       0.24315985
        20,    114662.3400,       2.39432736,       1.80000000,       0.33410500,       0.25117242
        24,    117108.0000,       2.39433028,       1.80000000,       0.32712800,       0.24592697
        29,    115790.6500,       2.39432825,       1.80000000,       0.33084900,       0.24872454
        35,    117709.8800,       2.39433034,       1.80000000,       0.32545500,       0.24466925
        42,    110654.8600,       2.39432914,       1.80000000,       0.34620500,       0.26026873
        50,     96529.3800,       2.39433342,       1.80000000,       0.39686700,       0.29835469
        60,     46380.2900,       2.39432794,       1.80000000,       0.82598100,       0.62095329
        72,     47472.1600,       2.39432876,       1.80000000,       0.80698400,       0.60667158
        86,     47117.7200,       2.39433111,       1.80000000,       0.81305500,       0.61123501
       103,     47361.0600,       2.39432654,       1.80000000,       0.80887600,       0.60809450
       124,     47441.8600,       2.39432853,       1.80000000,       0.80749900,       0.60705880
       149,     47571.0200,       2.39432731,       1.80000000,       0.80530600,       0.60541046
       179,     47710.7800,       2.39432884,       1.80000000,       0.80294800,       0.60363738
       215,     47733.4000,       2.39433127,       1.80000000,       0.80256800,       0.60335110
       258,     47756.9300,       2.39432813,       1.80000000,       0.80217200,       0.60305418
       310,     47595.4900,       2.39432748,       1.80000000,       0.80489200,       0.60509918
       372,     47611.6900,       2.39433051,       1.80000000,       0.80461900,       0.60489318
       446,     47573.8900,       2.39432672,       1.80000000,       0.80525700,       0.60537377
       535,     47664.6400,       2.39432881,       1.80000000,       0.80372500,       0.60422152
       642,     47706.5200,       2.39432965,       1.80000000,       0.80302000,       0.60369131
       770,     45831.0800,       2.39432736,       1.80000000,       0.83587900,       0.62839452
       924,     43592.8400,       2.39433027,       1.80000000,       0.87879800,       0.66065923
      1109,     35302.9600,       2.39430560,       1.80000000,       1.08514700,       0.81579586
      1331,     33695.6500,       2.39432776,       1.80000000,       1.13692000,       0.85471005
      1597,     26498.0000,       2.39433072,       1.80000000,       1.44574300,       1.08687466
      1916,     21396.0500,       2.39433016,       1.80000000,       1.79048400,       1.34604294
      2299,     20613.2500,       2.39433242,       1.80000000,       1.85848000,       1.39715938
      2759,     20127.9700,       2.39432811,       1.80000000,       1.90328400,       1.43084450
      3311,     20117.8300,       2.39432809,       1.80000000,       1.90424300,       1.43156546
      3973,     20123.9000,       2.39433399,       1.80000000,       1.90367400,       1.43113418
      4768,     20125.5500,       2.39433156,       1.80000000,       1.90351600,       1.43101685
      5722,     20131.6900,       2.39433064,       1.80000000,       1.90293500,       1.43058062
      6866,     20136.6200,       2.39432927,       1.80000000,       1.90246700,       1.43022960
      8239,     20124.0200,       2.39433316,       1.80000000,       1.90366200,       1.43112565
      9887,     20141.9700,       2.39432829,       1.80000000,       1.90196100,       1.42984979
