  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,     94860.0700,       2.39432714,       1.80000000,       0.40385000,       0.30360513
         6,     97829.1400,       2.39433209,       1.80000000,       0.39159400,       0.29439074
         7,     99878.6000,       2.39433426,       1.80000000,       0.38355900,       0.28834996
         8,    101680.8300,       2.39433224,       1.80000000,       0.37676000,       0.28323889
        10,    101108.3700,       2.39433365,       1.80000000,       0.37889400,       0.28484301
        12,    103061.1000,       2.39433440,       1.80000000,       0.37171500,       0.27944593
        14,    106426.5900,       2.39433450,       1.80000000,       0.35996000,       0.27060881
        17,    105654.0500,       2.39433306,       1.80000000,       0.36259200,       0.27258764
        20,    105810.5000,       2.39433058,       1.80000000,       0.36205600,       0.27218497
        24,    106832.0700,       2.39433140,       1.80000000,       0.35859400,       0.26958223
        29,    107649.7400,       2.39432991,       1.80000000,       0.35587000,       0.26753456
        35,    108068.7300,       2.39433138,       1.80000000,       0.35449000,       0.26649695
        42,    103812.1900,       2.39433238,       1.80000000,       0.36902500,       0.27742389
        50,     91353.3400,       2.39433153,       1.80000000,       0.41935300,       0.31525935
        60,     53658.3200,       2.39433216,       1.80000000,       0.71394900,       0.53672929
        72,     53876.2400,       2.39433087,       1.80000000,       0.71106100,       0.53455845
        86,     53861.4800,       2.39433243,       1.80000000,       0.71125600,       0.53470470
       103,     54018.6200,       2.39433777,       1.80000000,       0.70918900,       0.53314959
       124,     54110.8100,       2.39433099,       1.80000000,       0.70797900,       0.53224145
       149,     54244.5700,       2.39432762,       1.80000000,       0.70623200,       0.53092885
       179,     54368.0800,       2.39433274,       1.80000000,       0.70462900,       0.52972262
       215,     54380.5400,       2.39433179,       1.80000000,       0.70446700,       0.52960104
       258,     54358.3600,       2.39430237,       1.80000000,       0.70474600,       0.52981729
       310,     54286.9100,       2.39433247,       1.80000000,       0.70568200,       0.53051429
       372,     54112.0100,       2.39432733,       1.80000000,       0.70796200,       0.53222948
       446,     54015.4300,       2.39433438,       1.80000000,       0.70923000,       0.53318117
       535,     53995.7400,       2.39433170,       1.80000000,       0.70948800,       0.53337572
       642,     53996.6700,       2.39433110,       1.80000000,       0.70947500,       0.53336608
       770,     54000.8500,       2.39433476,       1.80000000,       0.70942100,       0.53332467
       924,     52169.8800,       2.39433137,       1.80000000,       0.73431800,       0.55204239
      1109,     47154.5200,       2.39433213,       1.80000000,       0.81242100,       0.61075812
      1331,     39683.1200,       2.39433183,       1.80000000,       0.96538000,       0.72574903
      1597,     29112.7700,       2.39432801,       1.80000000,       1.31589200,       0.98925694
      1916,     24017.1800,       2.39432944,       1.80000000,       1.59507800,       1.19914175
      2299,     21654.5400,       2.39433174,       1.80000000,       1.76911200,       1.32997510
      2759,     21225.5200,       2.39433087,       1.80000000,       1.80486900,       1.35685683
      3311,     21204.6000,       2.39433150,       1.80000000,       1.80665000,       1.35819539
      3973,     19634.1400,       2.39432946,       1.80000000,       1.95115600,       1.46683272
      4768,     21208.5000,       2.39433166,       1.80000000,       1.80631800,       1.35794571
      5722,     21216.9800,       2.39433569,       1.80000000,       1.80560000,       1.35740365
      6866,     21207.0200,       2.39433242,       1.80000000,       1.80644500,       1.35804075
      8239,     21218.9300,       2.39433579,       1.80000000,       1.80543400,       1.35727880
      9887,     21228.5200,       2.39433132,       1.80000000,       1.80461500,       1.35666563
     11864,     21210.9300,       2.39433098,       1.80000000,       1.80611100,       1.35779048
     14237,     21228.9600,       2.39433437,       1.80000000,       1.80457900,       1.35663683
     17084,     21203.4300,       2.39433411,       1.80000000,       1.80675300,       1.35827134
     20501,     21236.4100,       2.39433372,       1.80000000,       1.80394600,       1.35616133
     24601,     21212.8700,       2.39432822,       1.80000000,       1.80594400,       1.35766649
     29521,     21049.6200,       2.39432925,       1.80000000,       1.81995100,       1.36819604
     35425,     20437.2400,       2.39433141,       1.80000000,       1.87448500,       1.40919214
     42510,     19752.4900,       2.39432672,       1.80000000,       1.93946300,       1.45804387
     51012,     17695.1300,       2.39433300,       1.80000000,       2.16496500,       1.62756684
     61214,     16463.3200,       2.39432867,       1.80000000,       2.32694600,       1.74934329
     73457,     15106.2600,       2.39432969,       1.80000000,       2.53598700,       1.90649459
     88148,     14213.7200,       2.39433179,       1.80000000,       2.69523500,       2.02621166
    105778,     12946.8400,       2.39433236,       1.80000000,       2.95897100,       2.22448140
    126934,     12674.5700,       2.39433482,       1.80000000,       3.02253700,       2.27226642
    152321,     12491.6700,       2.39433311,       1.80000000,       3.06679000,       2.30553634
    182785,     11958.9200,       2.39432872,       1.80000000,       3.20340400,       2.40824376
    219342,     11873.6000,       2.39433382,       1.80000000,       3.22643100,       2.42554975
    263210,     11780.3400,       2.39433214,       1.80000000,       3.25196900,       2.44475029
    315852,     11547.3200,       2.39432874,       1.80000000,       3.31758900,       2.49408534
    379022,     11466.9500,       2.39433339,       1.80000000,       3.34084700,       2.51156528
    454826,     11377.8800,       2.39433201,       1.80000000,       3.36699900,       2.53122716
    545791,     11326.6900,       2.39433141,       1.80000000,       3.38221400,       2.54266606
    654949,     11214.6700,       2.39433132,       1.80000000,       3.41599900,       2.56806489
    785939,     11288.7400,       2.39433026,       1.80000000,       3.39358400,       2.55121496
