  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    113849.3200,       2.79471812,       2.10000000,       0.39276000,       0.29512672
         6,    116962.6400,       2.79471711,       2.10000000,       0.38230600,       0.28727151
         7,    118814.9200,       2.79470835,       2.10000000,       0.37634400,       0.28279244
         8,    120912.7800,       2.79471051,       2.10000000,       0.36981500,       0.27788621
        10,    123177.8600,       2.79471548,       2.10000000,       0.36301500,       0.27277607
        12,    124793.7900,       2.79471457,       2.10000000,       0.35831500,       0.26924449
        14,    119999.0900,       2.79471236,       2.10000000,       0.37263100,       0.28000202
        17,    127236.0200,       2.79471323,       2.10000000,       0.35143700,       0.26407636
        20,    128174.1100,       2.79471732,       2.10000000,       0.34886500,       0.26214333
        24,    129073.1400,       2.79471521,       2.10000000,       0.34643500,       0.26031758
        29,    126297.1300,       2.79471673,       2.10000000,       0.35405000,       0.26603949
        35,    104735.0700,       2.79471635,       2.10000000,       0.42693900,       0.32080962
        42,     66229.8300,       2.79471426,       2.10000000,       0.67515500,       0.50732396
        50,     65054.4600,       2.79467861,       2.10000000,       0.68734500,       0.51649034
        60,     65330.2400,       2.79471274,       2.10000000,       0.68445200,       0.51431018
        72,     65610.3100,       2.79471699,       2.10000000,       0.68153100,       0.51211450
        86,     65840.7900,       2.79471326,       2.10000000,       0.67914400,       0.51032155
       103,     66027.2500,       2.79471469,       2.10000000,       0.67722700,       0.50888082
       124,     66178.5800,       2.79471607,       2.10000000,       0.67567900,       0.50771737
       149,     66323.1800,       2.79471614,       2.10000000,       0.67420600,       0.50661052
       179,     66441.1600,       2.79471670,       2.10000000,       0.67300800,       0.50571022
       215,     66522.0200,       2.79471788,       2.10000000,       0.67219100,       0.50509610
       258,     66430.7200,       2.79471817,       2.10000000,       0.67311500,       0.50579036
       310,     65026.5500,       2.79471447,       2.10000000,       0.68764900,       0.51671214
       372,     64426.5700,       2.79467273,       2.10000000,       0.69404200,       0.52152375
       446,     62919.0400,       2.79472075,       2.10000000,       0.71068400,       0.53401987
       535,     57343.4100,       2.79471588,       2.10000000,       0.77978400,       0.58594378
       642,     59125.4500,       2.79470804,       2.10000000,       0.75627900,       0.56828330
       770,     53380.0700,       2.79471389,       2.10000000,       0.83768000,       0.62944833
       924,     55032.7100,       2.79464133,       2.10000000,       0.81250300,       0.61054572
      1109,     52425.7500,       2.79471589,       2.10000000,       0.85292900,       0.64090626
      1331,     50252.4400,       2.79471868,       2.10000000,       0.88981800,       0.66862465
      1597,     50375.9200,       2.79462782,       2.10000000,       0.88760700,       0.66698495
      1916,     50839.3300,       2.79468057,       2.10000000,       0.87953300,       0.66090533
      2299,     50836.3400,       2.79471874,       2.10000000,       0.87959700,       0.66094440
      2759,     50625.2400,       2.79471316,       2.10000000,       0.88326300,       0.66370042
      3311,     53682.5400,       2.79471736,       2.10000000,       0.83296100,       0.62590161
      3973,     53719.9000,       2.79467211,       2.10000000,       0.83236900,       0.62546690
      4768,     51417.5900,       2.79471620,       2.10000000,       0.86965300,       0.65347290
      5722,     50678.3500,       2.79471530,       2.10000000,       0.88233800,       0.66300485
      6866,     53895.1100,       2.79471931,       2.10000000,       0.82967700,       0.62343352
      8239,     51496.2300,       2.79471365,       2.10000000,       0.86832400,       0.65247486
      9887,     50621.2800,       2.79471792,       2.10000000,       0.88333400,       0.66375264
     11864,     50813.9900,       2.79471521,       2.10000000,       0.87998300,       0.66123528
     14237,     50902.2800,       2.79471003,       2.10000000,       0.87845500,       0.66008834
     17084,     50783.6000,       2.79471229,       2.10000000,       0.88050900,       0.66163122
     20501,     53015.0300,       2.79471454,       2.10000000,       0.84344800,       0.63378237
     24601,     50810.0900,       2.79459774,       2.10000000,       0.88001300,       0.66128562
     29521,     50849.9000,       2.79467393,       2.10000000,       0.87934900,       0.66076864
     35425,     43344.1100,       2.79471645,       2.10000000,       1.03163900,       0.77519202
     42510,     42754.4300,       2.79471651,       2.10000000,       1.04586700,       0.78588318
     51012,     41763.7100,       2.79471449,       2.10000000,       1.07067700,       0.80452644
     61214,     43931.8000,       2.79471641,       2.10000000,       1.01783800,       0.76482172
     73457,     40395.8800,       2.79471459,       2.10000000,       1.10693100,       0.83176833
     88148,     42026.2600,       2.79472018,       2.10000000,       1.06399000,       0.79950008
    105778,     38808.3200,       2.79471756,       2.10000000,       1.15221400,       0.86579390
    126934,     37825.5000,       2.79471821,       2.10000000,       1.18215200,       0.88828963
    152321,     37582.0600,       2.79471373,       2.10000000,       1.18980800,       0.89404391
    182785,     36587.8900,       2.79471517,       2.10000000,       1.22213800,       0.91833680
    219342,     36984.1500,       2.79471739,       2.10000000,       1.20904400,       0.90849701
    263210,     35224.5500,       2.79471999,       2.10000000,       1.26944200,       0.95388025
    315852,     36013.5600,       2.79471332,       2.10000000,       1.24162700,       0.93298181
    379022,     34430.1400,       2.79471816,       2.10000000,       1.29873100,       0.97588914
    454826,     34059.2200,       2.79471587,       2.10000000,       1.31287400,       0.98651725
    545791,     34704.1200,       2.79471692,       2.10000000,       1.28847700,       0.96818453
    654949,     34778.0700,       2.79472025,       2.10000000,       1.28573900,       0.96612600
    785939,     33950.9300,       2.79471821,       2.10000000,       1.31706200,       0.98966336
    943127,     33412.6100,       2.79471850,       2.10000000,       1.33828200,       1.00560833
   1131752,     34680.4100,       2.79470467,       2.10000000,       1.28935200,       0.96884627
   1358102,     34409.4800,       2.79471697,       2.10000000,       1.29951000,       0.97647491
   1629722,     33195.5500,       2.79468255,       2.10000000,       1.34701600,       1.01218423
   1955666,     32996.5200,       2.79471610,       2.10000000,       1.35515700,       1.01828937
