  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    113265.1400,       2.79471573,       2.10000000,       0.19739300,       0.14832467
         6,    117042.8900,       2.79471868,       2.10000000,       0.19102200,       0.14353724
         7,    118473.0900,       2.79471727,       2.10000000,       0.18871600,       0.14180454
         8,    121389.0300,       2.79465644,       2.10000000,       0.18417900,       0.13839837
        10,    122927.7300,       2.79471450,       2.10000000,       0.18187700,       0.13666573
        12,    123949.9300,       2.79471624,       2.10000000,       0.18037700,       0.13553852
        14,    125200.7200,       2.79471154,       2.10000000,       0.17857500,       0.13418469
        17,    127090.0800,       2.79471767,       2.10000000,       0.17592000,       0.13218938
        20,    127782.6300,       2.79466932,       2.10000000,       0.17496400,       0.13147330
        24,    128723.3900,       2.79471980,       2.10000000,       0.17368800,       0.13051212
        29,    124086.7200,       2.79471564,       2.10000000,       0.18017800,       0.13538902
        35,     92762.0200,       2.79471989,       2.10000000,       0.24102300,       0.18110878
        42,     64911.1600,       2.79471269,       2.10000000,       0.34443500,       0.25881498
        50,     65140.9800,       2.79471237,       2.10000000,       0.34322000,       0.25790203
        60,     65407.8500,       2.79471838,       2.10000000,       0.34182100,       0.25685025
        72,     65666.1800,       2.79471864,       2.10000000,       0.34047600,       0.25583957
        86,     65892.8600,       2.79471303,       2.10000000,       0.33930400,       0.25495942
       103,     66074.0500,       2.79471588,       2.10000000,       0.33837400,       0.25426034
       124,     66228.0000,       2.79471730,       2.10000000,       0.33758700,       0.25366884
       149,     66354.4400,       2.79471492,       2.10000000,       0.33694400,       0.25318590
       179,     66447.8300,       2.79471594,       2.10000000,       0.33647000,       0.25282963
       215,     66554.5200,       2.79471434,       2.10000000,       0.33593100,       0.25242476
       258,     66390.7900,       2.79471802,       2.10000000,       0.33676000,       0.25304735
       310,     66506.1600,       2.79465478,       2.10000000,       0.33616800,       0.25260823
       372,     62962.1900,       2.79471352,       2.10000000,       0.35509700,       0.26682653
       446,     52623.1300,       2.79471668,       2.10000000,       0.42486500,       0.31925114
       535,     51640.2800,       2.79471510,       2.10000000,       0.43295100,       0.32532729
       642,     54496.7800,       2.79471953,       2.10000000,       0.41025800,       0.30827487
       770,     50370.9000,       2.79471458,       2.10000000,       0.44386200,       0.33352608
       924,     51865.4700,       2.79471659,       2.10000000,       0.43107200,       0.32391521
      1109,     49057.9200,       2.79468657,       2.10000000,       0.45573700,       0.34245261
      1331,     49010.0300,       2.79471889,       2.10000000,       0.45618700,       0.34278678
      1597,     51619.0000,       2.79471244,       2.10000000,       0.43312900,       0.32546136
      1916,     50054.3700,       2.79464152,       2.10000000,       0.44665700,       0.33563507
      2299,     49548.2900,       2.79471314,       2.10000000,       0.45123100,       0.33906346
      2759,     49293.0800,       2.79471550,       2.10000000,       0.45356700,       0.34081848
      3311,     50259.4000,       2.79471758,       2.10000000,       0.44484700,       0.33426587
      3973,     50453.8500,       2.79471603,       2.10000000,       0.44313200,       0.33297737
      4768,     51315.5000,       2.79471086,       2.10000000,       0.43569100,       0.32738668
      5722,     53532.5900,       2.79471593,       2.10000000,       0.41764700,       0.31382749
      6866,     50981.8300,       2.79467532,       2.10000000,       0.43853700,       0.32952941
      8239,     51001.7900,       2.79471401,       2.10000000,       0.43837100,       0.32940011
      9887,     51257.8200,       2.79471268,       2.10000000,       0.43618100,       0.32775466
     11864,     51235.4500,       2.79471365,       2.10000000,       0.43637200,       0.32789807
     14237,     52401.5300,       2.79471608,       2.10000000,       0.42666200,       0.32060151
     17084,     51260.7900,       2.79471539,       2.10000000,       0.43615600,       0.32773556
     20501,     51205.7500,       2.79471263,       2.10000000,       0.43662500,       0.32808829
     24601,     51334.6000,       2.79471121,       2.10000000,       0.43552900,       0.32726491
     29521,     51375.9900,       2.79471095,       2.10000000,       0.43517800,       0.32700119
     35425,     38480.4200,       2.79472041,       2.10000000,       0.58101700,       0.43658596
     42510,     35547.4700,       2.79471210,       2.10000000,       0.62895300,       0.47260729
     51012,     35857.7900,       2.79471328,       2.10000000,       0.62351000,       0.46851711
     61214,     34114.0100,       2.79471767,       2.10000000,       0.65538300,       0.49246631
     73457,     32355.4300,       2.79471403,       2.10000000,       0.69100300,       0.51923248
     88148,     29812.5400,       2.79471679,       2.10000000,       0.74994400,       0.56352129
    105778,     28148.9100,       2.79471411,       2.10000000,       0.79426600,       0.59682620
    126934,     28228.9200,       2.79470993,       2.10000000,       0.79201300,       0.59513414
    152321,     27165.3000,       2.79471616,       2.10000000,       0.82302500,       0.61843579
    182785,     26838.9500,       2.79471443,       2.10000000,       0.83303200,       0.62595562
    219342,     26918.4600,       2.79471627,       2.10000000,       0.83057200,       0.62410672
    263210,     26790.3400,       2.79471282,       2.10000000,       0.83454300,       0.62709137
    315852,     26292.7000,       2.79471251,       2.10000000,       0.85033900,       0.63896086
    379022,     27138.4300,       2.79471647,       2.10000000,       0.82384000,       0.61904813
    454826,     26023.0000,       2.79471250,       2.10000000,       0.85915200,       0.64558312
    545791,     25953.8300,       2.79471814,       2.10000000,       0.86144300,       0.64730331
    654949,     25893.5100,       2.79471587,       2.10000000,       0.86344900,       0.64881118
    785939,     25963.6800,       2.79471704,       2.10000000,       0.86111600,       0.64705785
    943127,     26860.9800,       2.79471539,       2.10000000,       0.83235000,       0.62544294
   1131752,     26779.7000,       2.79467541,       2.10000000,       0.83486400,       0.62734098
   1358102,     25929.1300,       2.79471737,       2.10000000,       0.86226400,       0.64792040
   1629722,     25927.1900,       2.79471438,       2.10000000,       0.86232700,       0.64796843
   1955666,     25917.5800,       2.79471244,       2.10000000,       0.86264600,       0.64820859
