  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,     96043.6800,       2.49408838,       2.20000000,       0.41549200,       0.36649960
         6,    120679.4600,       2.49408690,       2.20000000,       0.33067300,       0.29168214
         7,    112184.6400,       2.49409038,       2.20000000,       0.35571200,       0.31376826
         8,    115150.8200,       2.49408544,       2.20000000,       0.34654900,       0.30568632
        10,    119215.0200,       2.49407813,       2.20000000,       0.33473300,       0.29526445
        12,    122282.9500,       2.49408655,       2.20000000,       0.32633600,       0.28785657
        14,    124491.8400,       2.49408820,       2.20000000,       0.32054600,       0.28274910
        17,    126913.8000,       2.49408605,       2.20000000,       0.31442900,       0.27735362
        20,    128735.0800,       2.49408714,       2.20000000,       0.30998100,       0.27342998
        24,    130413.2800,       2.49404435,       2.20000000,       0.30598700,       0.26991156
        29,    131778.1000,       2.49408530,       2.20000000,       0.30282200,       0.26711532
        35,     91395.3500,       2.49408524,       2.20000000,       0.43662400,       0.38514032
        42,     61565.6500,       2.49408220,       2.20000000,       0.64817500,       0.57174740
        50,     61248.4600,       2.49407274,       2.20000000,       0.65152900,       0.57470810
        60,     61548.1000,       2.49408277,       2.20000000,       0.64836000,       0.57191045
        72,     62187.8000,       2.49408231,       2.20000000,       0.64169000,       0.56602703
        86,     62265.3500,       2.49408543,       2.20000000,       0.64089200,       0.56532241
       103,     62640.4500,       2.49408433,       2.20000000,       0.63705400,       0.56193721
       124,     62740.2000,       2.49408768,       2.20000000,       0.63604200,       0.56104379
       149,     62986.8500,       2.49404028,       2.20000000,       0.63353900,       0.55884655
       179,     63041.4800,       2.49406237,       2.20000000,       0.63299600,       0.55836262
       215,     63077.4100,       2.49408314,       2.20000000,       0.63264100,       0.55804483
       258,     63170.3800,       2.49406201,       2.20000000,       0.63170400,       0.55722303
       310,     62745.6600,       2.49409041,       2.20000000,       0.63598700,       0.56099466
       372,     62536.2700,       2.49408890,       2.20000000,       0.63811600,       0.56287296
       446,     62509.2100,       2.49408421,       2.20000000,       0.63839200,       0.56311747
       535,     62409.8500,       2.49408459,       2.20000000,       0.63940800,       0.56401359
       642,     62255.9900,       2.49408420,       2.20000000,       0.64098800,       0.56540737
       770,     56783.9700,       2.49409020,       2.20000000,       0.70275900,       0.61989330
       924,     42219.3700,       2.49406882,       2.20000000,       0.94518500,       0.83374083
      1109,     38652.3400,       2.49408914,       2.20000000,       1.03241900,       0.91068189
      1331,     30069.4500,       2.49408659,       2.20000000,       1.32710700,       1.17062311
      1597,     25162.4000,       2.49406834,       2.20000000,       1.58590100,       1.39891203
      1916,     22918.9100,       2.49408454,       2.20000000,       1.74115400,       1.53584962
      2299,     21987.9900,       2.49408578,       2.20000000,       1.81487100,       1.60087365
      2759,     21978.1200,       2.49408555,       2.20000000,       1.81568600,       1.60159270
      3311,     21979.5800,       2.49405675,       2.20000000,       1.81554400,       1.60148593
      3973,     21983.2200,       2.49408928,       2.20000000,       1.81526700,       1.60122071
      4768,     21985.1100,       2.49407945,       2.20000000,       1.81510400,       1.60108324
      5722,     21934.8900,       2.49408463,       2.20000000,       1.81926400,       1.60474939
      6866,     21987.0700,       2.49408821,       2.20000000,       1.81494900,       1.60094089
      8239,     21980.6000,       2.49403972,       2.20000000,       1.81544800,       1.60141219
      9887,     21932.0600,       2.49408264,       2.20000000,       1.81949700,       1.60495620
     11864,     21845.9900,       2.49408709,       2.20000000,       1.82666900,       1.61127966
     14237,     21938.6700,       2.49408851,       2.20000000,       1.81895300,       1.60447257
     17084,     21716.5300,       2.49408189,       2.20000000,       1.83755500,       1.62088543
     20501,     21418.0000,       2.49408745,       2.20000000,       1.86317100,       1.64347734
     24601,     17869.5900,       2.49404902,       2.20000000,       2.23311200,       1.96982753
     29521,     15758.0300,       2.49408946,       2.20000000,       2.53238700,       2.23378171
     35425,     15529.3400,       2.49408287,       2.20000000,       2.56967300,       2.26667713
     42510,     14740.2200,       2.49408354,       2.20000000,       2.70724100,       2.38802354
     51012,     14090.0100,       2.49408828,       2.20000000,       2.83217900,       2.49822504
     61214,     13686.9500,       2.49408854,       2.20000000,       2.91558200,       2.57179339
     73457,     13375.7700,       2.49408629,       2.20000000,       2.98340700,       2.63162322
     88148,     13112.5700,       2.49408651,       2.20000000,       3.04329200,       2.68444674
    105778,     12938.9200,       2.49408249,       2.20000000,       3.08413100,       2.72047465
    126934,     12823.9200,       2.49408875,       2.20000000,       3.11179500,       2.74486985
    152321,     12742.7700,       2.49408699,       2.20000000,       3.13161100,       2.76235120
    182785,     12690.9000,       2.49408874,       2.20000000,       3.14441100,       2.77363996
    219342,     12654.5700,       2.49406265,       2.20000000,       3.15340600,       2.78160342
    263210,     12626.3500,       2.49408720,       2.20000000,       3.16048600,       2.78782121
    315852,     12607.4800,       2.49408328,       2.20000000,       3.16521000,       2.79199258
    379022,     12592.8700,       2.49408532,       2.20000000,       3.16888500,       2.79523196
    454826,     12584.3800,       2.49408917,       2.20000000,       3.17102900,       2.79711884
    545791,     12578.5200,       2.49408558,       2.20000000,       3.17250100,       2.79842129
    654949,     12572.9200,       2.49408264,       2.20000000,       3.17391100,       2.79966834
    785939,     12566.5300,       2.49408622,       2.20000000,       3.17552800,       2.80109066
    943127,     12560.4200,       2.49407638,       2.20000000,       3.17706200,       2.80245483
   1131752,     12556.9400,       2.49408982,       2.20000000,       3.17795900,       2.80323096
   1358102,     12557.6300,       2.49408339,       2.20000000,       3.17777600,       2.80307676
   1629722,     12552.2200,       2.49408730,       2.20000000,       3.17915200,       2.80428613
   1955666,     12551.2000,       2.49408447,       2.20000000,       3.17940500,       2.80451247
   2346799,     12549.4200,       2.49408504,       2.20000000,       3.17985800,       2.80491141
   2816159,     12549.1900,       2.49406456,       2.20000000,       3.17988900,       2.80496179
   3379391,     12547.9300,       2.49408866,       2.20000000,       3.18024000,       2.80524430
   4055269,     12548.0300,       2.49408962,       2.20000000,       3.18021600,       2.80522206
   4866323,     12546.9600,       2.49408546,       2.20000000,       3.18048000,       2.80545960
   5839588,     12545.8000,       2.49408906,       2.20000000,       3.18078100,       2.80572106
