  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,     67129.2300,       2.49406693,       2.20000000,       0.29722600,       0.26218110
         6,     67605.3600,       2.49408499,       2.20000000,       0.29513500,       0.26033475
         7,     67976.2600,       2.49408640,       2.20000000,       0.29352400,       0.25891356
         8,     63518.6400,       2.49407397,       2.20000000,       0.31412200,       0.27708416
        10,     68430.9500,       2.49402989,       2.20000000,       0.29156700,       0.25719315
        12,     65000.2300,       2.49408728,       2.20000000,       0.30696400,       0.27076871
        14,     68913.6400,       2.49408632,       2.20000000,       0.28953200,       0.25539228
        17,     69128.9400,       2.49408684,       2.20000000,       0.28863000,       0.25459659
        20,     67458.2700,       2.49404729,       2.20000000,       0.29577400,       0.26090235
        24,     69349.2800,       2.49403413,       2.20000000,       0.28770700,       0.25378779
        29,     59745.3200,       2.49407622,       2.20000000,       0.33396100,       0.29458370
        35,     39042.9600,       2.49408550,       2.20000000,       0.51104400,       0.45078519
        42,     38365.5100,       2.49408867,       2.20000000,       0.52006900,       0.45874544
        50,     37691.4900,       2.49405984,       2.20000000,       0.52936300,       0.46694894
        60,     38733.7500,       2.49404753,       2.20000000,       0.51511600,       0.45438396
        72,     39248.6300,       2.49404938,       2.20000000,       0.50835900,       0.44842328
        86,     38752.5200,       2.49408188,       2.20000000,       0.51487400,       0.45416424
       103,     38441.2100,       2.49408674,       2.20000000,       0.51904400,       0.45784165
       124,     40304.5500,       2.49407354,       2.20000000,       0.49504600,       0.43667566
       149,     40404.0500,       2.49408551,       2.20000000,       0.49382900,       0.43560006
       179,     40630.3700,       2.49408844,       2.20000000,       0.49107900,       0.43317381
       215,     40666.7600,       2.49408692,       2.20000000,       0.49063900,       0.43278596
       258,     41115.3100,       2.49408978,       2.20000000,       0.48528700,       0.42806454
       310,     41263.4100,       2.49408501,       2.20000000,       0.48354400,       0.42652788
       372,     41542.4700,       2.49403954,       2.20000000,       0.48028700,       0.42366265
       446,     41662.9200,       2.49408311,       2.20000000,       0.47890700,       0.42243797
       535,     39769.7600,       2.49408748,       2.20000000,       0.50170500,       0.44254703
       642,     41781.9200,       2.49408131,       2.20000000,       0.47754300,       0.42123510
       770,     37570.0800,       2.49408406,       2.20000000,       0.53107900,       0.46845807
       924,     35476.2600,       2.49407601,       2.20000000,       0.56242100,       0.49610605
      1109,     26585.2400,       2.49408781,       2.20000000,       0.75051800,       0.66202144
      1331,     21962.6100,       2.49408365,       2.20000000,       0.90848400,       0.80136238
      1597,     19475.7800,       2.49405967,       2.20000000,       1.02447600,       0.90368616
      1916,     18374.7100,       2.49405404,       2.20000000,       1.08586400,       0.95783843
      2299,     18221.4400,       2.49408706,       2.20000000,       1.09501200,       0.96589507
      2759,     18198.2100,       2.49408198,       2.20000000,       1.09640800,       0.96712843
      3311,     18204.7900,       2.49408488,       2.20000000,       1.09601300,       0.96677888
      3973,     18204.1000,       2.49408630,       2.20000000,       1.09605500,       0.96681538
      4768,     18202.5400,       2.49408728,       2.20000000,       1.09614900,       0.96689792
      5722,     18201.9900,       2.49408606,       2.20000000,       1.09618200,       0.96692750
      6866,     18204.6400,       2.49408628,       2.20000000,       1.09602200,       0.96678628
      8239,     18203.6700,       2.49408761,       2.20000000,       1.09608100,       0.96683781
      9887,     18197.0200,       2.49408572,       2.20000000,       1.09648100,       0.96719138
     11864,     18201.4900,       2.49407878,       2.20000000,       1.09620900,       0.96695414
     14237,     18205.8800,       2.49408529,       2.20000000,       1.09594700,       0.96672051
     17084,     18173.7100,       2.49408597,       2.20000000,       1.09788800,       0.96843238
     20501,     18014.8700,       2.49408741,       2.20000000,       1.10756800,       0.97697041
     24601,     15604.2700,       2.49408644,       2.20000000,       1.27866900,       1.12789668
     29521,     13692.7900,       2.49405643,       2.20000000,       1.45715000,       1.28534782
     35425,     11477.8300,       2.49408969,       2.20000000,       1.73837100,       1.53339161
     42510,     10365.5900,       2.49408506,       2.20000000,       1.92489600,       1.69792573
     51012,      9803.9400,       2.49407234,       2.20000000,       2.03515800,       1.79519556
     61214,      9478.8400,       2.49408242,       2.20000000,       2.10497000,       1.85676863
     73457,      9280.7900,       2.49408256,       2.20000000,       2.14988700,       1.89638927
     88148,      9146.3600,       2.49408775,       2.20000000,       2.18149000,       1.92426189
    105778,      9061.1400,       2.49408415,       2.20000000,       2.20200400,       1.94235980
    126934,      8997.5500,       2.49404805,       2.20000000,       2.21753600,       1.95608870
    152321,      8943.0400,       2.49408692,       2.20000000,       2.23108500,       1.96800960
    182785,      8902.9100,       2.49408246,       2.20000000,       2.24113800,       1.97688075
    219342,      8868.4000,       2.49408593,       2.20000000,       2.24986400,       1.98457509
    263210,      8840.4700,       2.49408647,       2.20000000,       2.25697200,       1.99084453
    315852,      8814.8100,       2.49408797,       2.20000000,       2.26354400,       1.99664040
    379022,      8797.5800,       2.49406443,       2.20000000,       2.26795500,       2.00055017
    454826,      8781.9600,       2.49408621,       2.20000000,       2.27200800,       2.00410779
    545791,      8767.9700,       2.49408074,       2.20000000,       2.27563000,       2.00730711
    654949,      8753.9300,       2.49408349,       2.20000000,       2.27928100,       2.01052540
    785939,      8746.3900,       2.49408660,       2.20000000,       2.28125000,       2.01225972
    943127,      8738.2400,       2.49408361,       2.20000000,       2.28337300,       2.01413480
   1131752,      8731.4200,       2.49407258,       2.20000000,       2.28514700,       2.01570854
   1358102,      8726.1900,       2.49404449,       2.20000000,       2.28649000,       2.01691591
   1629722,      8728.5300,       2.49408288,       2.20000000,       2.28591300,       2.01637590
   1955666,      8721.3900,       2.49405518,       2.20000000,       2.28775900,       2.01802664
   2346799,      8718.0800,       2.49408407,       2.20000000,       2.28865400,       2.01879274
   2816159,      8715.3400,       2.49408600,       2.20000000,       2.28937600,       2.01942803
   3379391,      8716.0800,       2.49407726,       2.20000000,       2.28917200,       2.01925517
   4055269,      8712.4900,       2.49408253,       2.20000000,       2.29012100,       2.02008800
   4866323,      8711.2100,       2.49408718,       2.20000000,       2.29046300,       2.02038591
   5839588,      8712.2700,       2.49408411,       2.20000000,       2.29018000,       2.02013877
