  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    206585.3500,       2.49406988,       2.20000000,       0.28974800,       0.25558450
         6,    227317.4200,       2.49408458,       2.20000000,       0.26332400,       0.23227472
         7,    234036.4800,       2.49408410,       2.20000000,       0.25576400,       0.22560619
         8,    210340.7400,       2.49408737,       2.20000000,       0.28457700,       0.25102144
        10,    246123.8300,       2.49408739,       2.20000000,       0.24320300,       0.21452600
        12,    251893.9200,       2.49408523,       2.20000000,       0.23763200,       0.20961208
        14,    256024.2000,       2.49408944,       2.20000000,       0.23379900,       0.20623070
        17,    236900.6300,       2.49408601,       2.20000000,       0.25267200,       0.22287860
        20,    263145.9700,       2.49408497,       2.20000000,       0.22747100,       0.20064922
        24,    258443.2500,       2.49408629,       2.20000000,       0.23161000,       0.20430007
        29,    260682.7500,       2.49408183,       2.20000000,       0.22962000,       0.20254508
        35,    179151.6700,       2.49406672,       2.20000000,       0.33411700,       0.29472243
        42,     96759.6400,       2.49405340,       2.20000000,       0.61861800,       0.54568182
        50,     93084.5700,       2.49408155,       2.20000000,       0.64304900,       0.56722596
        60,     95070.7500,       2.49408684,       2.20000000,       0.62961600,       0.55537569
        72,     93881.0200,       2.49408597,       2.20000000,       0.63759500,       0.56241405
        86,     95150.3700,       2.49403898,       2.20000000,       0.62907700,       0.55491089
       103,     94151.9100,       2.49408948,       2.20000000,       0.63576100,       0.56079552
       124,     93916.4300,       2.49408959,       2.20000000,       0.63735500,       0.56220154
       149,     91732.4800,       2.49408369,       2.20000000,       0.65252800,       0.57558678
       179,     94343.9500,       2.49408513,       2.20000000,       0.63446600,       0.55965419
       215,     94626.1800,       2.49408624,       2.20000000,       0.63257400,       0.55798504
       258,     94887.3100,       2.49408299,       2.20000000,       0.63083200,       0.55644917
       310,     94024.2700,       2.49408517,       2.20000000,       0.63662300,       0.56155685
       372,     95907.5300,       2.49408588,       2.20000000,       0.62412300,       0.55053060
       446,     94723.9800,       2.49408812,       2.20000000,       0.63192100,       0.55740861
       535,     95769.1300,       2.49408579,       2.20000000,       0.62502500,       0.55132626
       642,     91191.2700,       2.49408399,       2.20000000,       0.65640100,       0.57900304
       770,     82496.6700,       2.49404778,       2.20000000,       0.72557000,       0.64002543
       924,     81650.8200,       2.49408458,       2.20000000,       0.73309800,       0.64665634
      1109,     59738.9800,       2.49408698,       2.20000000,       1.00199400,       0.88384520
      1331,     41788.9100,       2.49408527,       2.20000000,       1.43239100,       1.26349337
      1597,     35968.6600,       2.49408478,       2.20000000,       1.66417200,       1.46794464
      1916,     32606.6500,       2.49408991,       2.20000000,       1.83576600,       1.61930217
      2299,     32463.4800,       2.49408540,       2.20000000,       1.84385800,       1.62644295
      2759,     32359.3700,       2.49408324,       2.20000000,       1.84978900,       1.63167601
      3311,     32366.8600,       2.49408621,       2.20000000,       1.84936300,       1.63129830
      3973,     32373.5400,       2.49408290,       2.20000000,       1.84897900,       1.63096174
      4768,     32369.5600,       2.49408311,       2.20000000,       1.84920700,       1.63116272
      5722,     32369.4700,       2.49408930,       2.20000000,       1.84921600,       1.63116662
      6866,     32379.1100,       2.49408684,       2.20000000,       1.84866400,       1.63068131
      8239,     32366.7700,       2.49405233,       2.20000000,       1.84934300,       1.63130282
      9887,     32351.9800,       2.49406781,       2.20000000,       1.85020000,       1.63204865
     11864,     32385.4400,       2.49408718,       2.20000000,       1.84830300,       1.63036265
