  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    190038.6600,       2.49407543,       2.20000000,       0.31497700,       0.27783819
         6,    196915.5200,       2.49408773,       2.20000000,       0.30397900,       0.26813564
         7,    213137.5300,       2.49408656,       2.20000000,       0.28084300,       0.24772781
         8,    218722.2800,       2.49408768,       2.20000000,       0.27367200,       0.24140226
        10,    230260.8700,       2.49408698,       2.20000000,       0.25995800,       0.22930540
        12,    211123.7100,       2.49404088,       2.20000000,       0.28351600,       0.25009021
        14,    231367.3600,       2.49408745,       2.20000000,       0.25871500,       0.22820892
        17,    248325.5500,       2.49405751,       2.20000000,       0.24104400,       0.21262413
        20,    252175.5200,       2.49408423,       2.20000000,       0.23736600,       0.20937753
        24,    241747.2700,       2.49407803,       2.20000000,       0.24760500,       0.21840977
        29,    147803.5100,       2.49408660,       2.20000000,       0.40498400,       0.35723090
        35,     87667.8400,       2.49408571,       2.20000000,       0.68278200,       0.60227297
        42,     77428.5300,       2.49408472,       2.20000000,       0.77307500,       0.68191950
        50,     72037.4000,       2.49408640,       2.20000000,       0.83093000,       0.73295216
        60,     72742.8900,       2.49408603,       2.20000000,       0.82287200,       0.72584441
        72,     74523.3000,       2.49408992,       2.20000000,       0.80321400,       0.70850325
        86,     73811.6500,       2.49408562,       2.20000000,       0.81095700,       0.71533446
       103,     72269.6700,       2.49408452,       2.20000000,       0.82825900,       0.73059665
       124,     72612.2200,       2.49408510,       2.20000000,       0.82435200,       0.72715017
       149,     73129.1000,       2.49402549,       2.20000000,       0.81850600,       0.72201074
       179,     74185.9500,       2.49408432,       2.20000000,       0.80686500,       0.71172533
       215,     71908.5900,       2.49408299,       2.20000000,       0.83241800,       0.73426570
       258,     74307.3300,       2.49394018,       2.20000000,       0.80550000,       0.71056235
       310,     73377.5400,       2.49408868,       2.20000000,       0.81575500,       0.71956583
       372,     73701.4200,       2.49407306,       2.20000000,       0.81216600,       0.71640452
       446,     73850.6200,       2.49408700,       2.20000000,       0.81052900,       0.71495653
       535,     73698.3700,       2.49407246,       2.20000000,       0.81219900,       0.71643380
       642,     73962.2700,       2.49408285,       2.20000000,       0.80930400,       0.71387717
       770,     62199.6200,       2.49406904,       2.20000000,       0.96234800,       0.84888011
       924,     49309.2200,       2.49408506,       2.20000000,       1.21393200,       1.07079363
      1109,     38121.8800,       2.49408838,       2.20000000,       1.57017700,       1.38503087
      1331,     28848.3900,       2.49408564,       2.20000000,       2.07491800,       1.83025776
      1597,     24475.0800,       2.49408697,       2.20000000,       2.44567500,       2.15729646
      1916,     22194.1500,       2.49408941,       2.20000000,       2.69702300,       2.37900477
      2299,     21982.1900,       2.49404122,       2.20000000,       2.72297600,       2.40194394
      2759,     21864.5700,       2.49408467,       2.20000000,       2.73767200,       2.41486525
      3311,     21866.9300,       2.49408613,       2.20000000,       2.73737900,       2.41460538
      3973,     21865.0700,       2.49408836,       2.20000000,       2.73761500,       2.41481140
      4768,     21868.9600,       2.49408652,       2.20000000,       2.73712500,       2.41438096
      5722,     22131.8100,       2.49408545,       2.20000000,       2.70461600,       2.38570623
      6866,     21044.3400,       2.49406453,       2.20000000,       2.84435300,       2.50898745
      8239,     22011.6600,       2.49408582,       2.20000000,       2.71938000,       2.39872901
      9887,     21889.6900,       2.49408653,       2.20000000,       2.73453300,       2.41209458
     11864,     21337.4900,       2.49378251,       2.20000000,       2.80495900,       2.47451803
     14237,     21824.4300,       2.49408871,       2.20000000,       2.74271200,       2.41930705
     17084,     21600.1400,       2.49408359,       2.20000000,       2.77118600,       2.44442857
     20501,     19613.4200,       2.49408217,       2.20000000,       3.05188800,       2.69203384
     24601,     18849.9700,       2.49408828,       2.20000000,       3.17550300,       2.80106629
     29521,     17878.2100,       2.49407248,       2.20000000,       3.34808400,       2.95331625
     35425,     16341.8600,       2.49408909,       2.20000000,       3.66287300,       3.23096742
     42510,     15362.1200,       2.49408310,       2.20000000,       3.89646800,       3.43702645
     51012,     14503.6300,       2.49407541,       2.20000000,       4.12709200,       3.64046827
     61214,     13848.4500,       2.49408421,       2.20000000,       4.32236400,       3.81270238
     73457,     13546.9800,       2.49408483,       2.20000000,       4.41855300,       3.89754850
     88148,     13201.7700,       2.49403642,       2.20000000,       4.53400500,       3.99946485
    105778,     13033.7200,       2.49408370,       2.20000000,       4.59254900,       4.05102996
    126934,     12735.4700,       2.49408196,       2.20000000,       4.70009800,       4.14590048
    152321,     12725.9000,       2.49408101,       2.20000000,       4.70363000,       4.14901760
    182785,     12597.1900,       2.49408611,       2.20000000,       4.75169800,       4.19140925
    219342,     12569.6300,       2.49404749,       2.20000000,       4.76204600,       4.20060212
    263210,     12523.1300,       2.49408733,       2.20000000,       4.77980400,       4.21619912
    315852,     12536.2800,       2.49408525,       2.20000000,       4.77478400,       4.21177456
    379022,     12474.5400,       2.49407303,       2.20000000,       4.79839500,       4.23262224
    454826,     12452.3300,       2.49408548,       2.20000000,       4.80697700,       4.24017120
    545791,     12453.5400,       2.49408457,       2.20000000,       4.80650900,       4.23975991
