  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    190503.2700,       2.49408428,       2.20000000,       0.41894700,       0.36954782
         6,    201488.7100,       2.49408316,       2.20000000,       0.39610500,       0.34939934
         7,    205275.1100,       2.49408447,       2.20000000,       0.38879900,       0.34295462
         8,    219645.3900,       2.49409060,       2.20000000,       0.36336300,       0.32051707
        10,    230693.3800,       2.49408793,       2.20000000,       0.34596100,       0.30516735
        12,    231200.8600,       2.49408587,       2.20000000,       0.34520100,       0.30449721
        14,    243490.4600,       2.49408556,       2.20000000,       0.32777800,       0.28912865
        17,    225442.4000,       2.49408312,       2.20000000,       0.35401800,       0.31227492
        20,    254728.9500,       2.49408512,       2.20000000,       0.31331600,       0.27637196
        24,    258625.2400,       2.49408959,       2.20000000,       0.30859700,       0.27220891
        29,    258614.7100,       2.49409070,       2.20000000,       0.30860900,       0.27221937
        35,    196506.5200,       2.49404704,       2.20000000,       0.40614200,       0.35825804
        42,    110038.3300,       2.49408321,       2.20000000,       0.72529900,       0.63977729
        50,     77711.1600,       2.49408541,       2.20000000,       1.02701800,       0.90591910
        60,     79729.5200,       2.49408659,       2.20000000,       1.00101900,       0.88298530
        72,     79535.0600,       2.49406413,       2.20000000,       1.00345800,       0.88514468
        86,     77992.6900,       2.49408272,       2.20000000,       1.02330900,       0.90264841
       103,     80238.5400,       2.49408629,       2.20000000,       0.99466900,       0.87738416
       124,     76361.5400,       2.49408375,       2.20000000,       1.04516900,       0.92193047
       149,     79141.5300,       2.49409031,       2.20000000,       1.00845800,       0.88954582
       179,     77439.4500,       2.49408020,       2.20000000,       1.03061900,       0.90909739
       215,     78182.3100,       2.49408523,       2.20000000,       1.02082900,       0.90045993
       258,     79560.3900,       2.49408813,       2.20000000,       1.00314800,       0.88486272
       310,     78908.1300,       2.49408993,       2.20000000,       1.01144000,       0.89217633
       372,     78517.7600,       2.49408365,       2.20000000,       1.01646700,       0.89661283
       446,     79426.1000,       2.49406443,       2.20000000,       1.00483400,       0.88635834
       535,     80022.5700,       2.49408704,       2.20000000,       0.99735300,       0.87975141
       642,     80325.0200,       2.49405321,       2.20000000,       0.99358500,       0.87643960
       770,     77334.0500,       2.49407601,       2.20000000,       1.03202200,       0.91033649
       924,     55596.1900,       2.49408721,       2.20000000,       1.43554400,       1.26627360
      1109,     43799.9100,       2.49407566,       2.20000000,       1.82215900,       1.60730881
      1331,     29592.2200,       2.49408247,       2.20000000,       2.69701400,       2.37900345
      1597,     24948.7800,       2.49408571,       2.20000000,       3.19898400,       2.82178145
      1916,     22420.0800,       2.49408696,       2.20000000,       3.55979100,       3.14004296
      2299,     21959.5000,       2.49406712,       2.20000000,       3.63442500,       3.20590209
      2759,     21930.6600,       2.49407003,       2.20000000,       3.63920900,       3.21011828
      3311,     21935.1200,       2.49408527,       2.20000000,       3.63849000,       3.20946444
      3973,     21931.9400,       2.49408512,       2.20000000,       3.63901900,       3.20993126
      4768,     22151.4900,       2.49408559,       2.20000000,       3.60295100,       3.17811555
      5722,     21930.9500,       2.49407255,       2.20000000,       3.63916300,       3.21007446
      6866,     21937.1200,       2.49407616,       2.20000000,       3.63814600,       3.20917273
      8239,     21742.0300,       2.49408464,       2.20000000,       3.67080300,       3.23796815
      9887,     21790.6200,       2.49408865,       2.20000000,       3.66262400,       3.23074835
     11864,     21857.9800,       2.49408855,       2.20000000,       3.65133600,       3.22079150
     14237,     21765.6700,       2.49408754,       2.20000000,       3.66682100,       3.23445190
     17084,     21616.4400,       2.49408128,       2.20000000,       3.69212500,       3.25678039
     20501,     21508.0200,       2.49408307,       2.20000000,       3.71074000,       3.27319812
     24601,     20204.9500,       2.49408726,       2.20000000,       3.95006000,       3.48429349
     29521,     19259.5400,       2.49407943,       2.20000000,       4.14394800,       3.65533090
     35425,     17098.5300,       2.49408467,       2.20000000,       4.66769300,       4.11731195
     42510,     16491.8700,       2.49407555,       2.20000000,       4.83938000,       4.26877045
     51012,     15469.5400,       2.49408694,       2.20000000,       5.15922000,       4.55087744
     61214,     14935.0500,       2.49408444,       2.20000000,       5.34385200,       4.71374353
     73457,     14459.5700,       2.49408179,       2.20000000,       5.51956900,       4.86874643
     88148,     14052.8500,       2.49408605,       2.20000000,       5.67932700,       5.00965851
    105778,     13816.8900,       2.49408479,       2.20000000,       5.77631600,       5.09521378
    126934,     13610.6400,       2.49405065,       2.20000000,       5.86376700,       5.17242399
    152321,     13541.3700,       2.49408634,       2.20000000,       5.89384600,       5.19888225
    182785,     13403.9100,       2.49408913,       2.20000000,       5.95429500,       5.25219763
    219342,     13364.1700,       2.49408732,       2.20000000,       5.97200000,       5.26781876
    263210,     13326.4100,       2.49408722,       2.20000000,       5.98891800,       5.28274212
    315852,     13298.4400,       2.49408550,       2.20000000,       6.00151100,       5.29385388
    379022,     13261.6600,       2.49408592,       2.20000000,       6.01815800,       5.30853708
    454826,     13270.3700,       2.49408060,       2.20000000,       6.01419500,       5.30505269
    545791,     13219.9400,       2.49408350,       2.20000000,       6.03714300,       5.32528866
    654949,     13252.2000,       2.49408662,       2.20000000,       6.02245600,       5.31232679
    785939,     13246.2900,       2.49404789,       2.20000000,       6.02504800,       5.31469569
    943127,     13240.1000,       2.49408639,       2.20000000,       6.02795600,       5.31717877
   1131752,     13210.9500,       2.49408357,       2.20000000,       6.04125000,       5.32891126
   1358102,     13214.6800,       2.49403652,       2.20000000,       6.03943200,       5.32740812
   1629722,     13205.5000,       2.49407726,       2.20000000,       6.04373200,       5.33111408
   1955666,     13199.0100,       2.49405805,       2.20000000,       6.04665500,       5.33373351
   2346799,     13201.6200,       2.49406946,       2.20000000,       6.04548700,       5.33267882
   2816159,     13224.2400,       2.49406012,       2.20000000,       6.03512200,       5.32355586
   3379391,     13221.7300,       2.49408215,       2.20000000,       6.03632100,       5.32456647
   4055269,     13195.8000,       2.49408514,       2.20000000,       6.04819000,       5.33502958
   4866323,     13205.6700,       2.49409010,       2.20000000,       6.04368400,       5.33104430
   5839588,     13219.1200,       2.49407425,       2.20000000,       6.03749700,       5.32562068
