  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    121142.1200,       2.39433057,       1.80000000,       0.47435100,       0.35660565
         6,    121333.6000,       2.39433243,       1.80000000,       0.47360300,       0.35604304
         7,    124893.6100,       2.39433105,       1.80000000,       0.46010300,       0.34589427
         8,    122885.0500,       2.39433431,       1.80000000,       0.46762400,       0.35154790
        10,    123081.4600,       2.39433261,       1.80000000,       0.46687800,       0.35098733
        12,    127159.8200,       2.39433502,       1.80000000,       0.45190400,       0.33972990
        14,    129025.4900,       2.39433700,       1.80000000,       0.44537000,       0.33481753
        17,    126904.9800,       2.39433706,       1.80000000,       0.45281200,       0.34041222
        20,    129408.8800,       2.39433274,       1.80000000,       0.44405000,       0.33382578
        24,    129907.0300,       2.39433347,       1.80000000,       0.44234700,       0.33254541
        29,    130057.0800,       2.39432993,       1.80000000,       0.44183600,       0.33216174
        35,    129934.2900,       2.39433051,       1.80000000,       0.44225400,       0.33247590
        42,    128746.6900,       2.39433073,       1.80000000,       0.44633300,       0.33554237
        50,    127684.6000,       2.39433156,       1.80000000,       0.45004600,       0.33833359
        60,    122561.6100,       2.39433473,       1.80000000,       0.46885800,       0.35247553
        72,     80837.4300,       2.39433389,       1.80000000,       0.71085900,       0.53440592
        86,     75844.1500,       2.39433735,       1.80000000,       0.75766000,       0.56958891
       103,     73982.6800,       2.39433542,       1.80000000,       0.77672300,       0.58392044
       124,     72628.0800,       2.39432988,       1.80000000,       0.79120800,       0.59481127
       149,     73857.2100,       2.39432985,       1.80000000,       0.77804100,       0.58491264
       179,     74019.8100,       2.39433216,       1.80000000,       0.77633200,       0.58362729
       215,     74015.2500,       2.39433277,       1.80000000,       0.77638000,       0.58366323
       258,     72891.9500,       2.39433286,       1.80000000,       0.78834500,       0.59265820
       310,     73894.7500,       2.39433493,       1.80000000,       0.77764700,       0.58461520
       372,     73897.9600,       2.39433098,       1.80000000,       0.77761200,       0.58458985
       446,     73836.9900,       2.39433259,       1.80000000,       0.77825500,       0.58507285
       535,     73988.3000,       2.39433536,       1.80000000,       0.77666400,       0.58387610
       642,     73845.1500,       2.39433372,       1.80000000,       0.77816900,       0.58500792
       770,     73860.5600,       2.39426334,       1.80000000,       0.77798400,       0.58488604
       924,     64448.8700,       2.39433284,       1.80000000,       0.89162100,       0.67029854
      1109,     58785.6700,       2.39433049,       1.80000000,       0.97751600,       0.73487299
      1331,     52187.7000,       2.39433288,       1.80000000,       1.10110200,       0.82778114
      1597,     38073.1800,       2.39432993,       1.80000000,       1.50930200,       1.13465716
      1916,     33034.2900,       2.39433304,       1.80000000,       1.73952500,       1.30773161
      2299,     31069.7500,       2.39433474,       1.80000000,       1.84951700,       1.39041987
      2759,     30863.2500,       2.39433334,       1.80000000,       1.86189000,       1.39972240
      3311,     30868.5200,       2.39433027,       1.80000000,       1.86157100,       1.39948438
      3973,     30877.4200,       2.39433147,       1.80000000,       1.86103500,       1.39908072
      4768,     30883.3900,       2.39433378,       1.80000000,       1.86067700,       1.39881024
      5722,     30879.7900,       2.39433100,       1.80000000,       1.86089200,       1.39897349
      6866,     30886.3600,       2.39433310,       1.80000000,       1.86049700,       1.39867531
      8239,     30874.4600,       2.39433109,       1.80000000,       1.86121300,       1.39921476
      9887,     30885.4900,       2.39433182,       1.80000000,       1.86054900,       1.39871516
     11864,     30879.6500,       2.39433299,       1.80000000,       1.86090200,       1.39897985
     14237,     30875.2100,       2.39433261,       1.80000000,       1.86116900,       1.39918079
     17084,     30879.9600,       2.39428416,       1.80000000,       1.86084500,       1.39896553
     20501,     30878.0600,       2.39431680,       1.80000000,       1.86098500,       1.39905170
     24601,     30857.9900,       2.39433299,       1.80000000,       1.86220800,       1.39996167
     29521,     30867.7100,       2.39432952,       1.80000000,       1.86161900,       1.39952090
     35425,     30808.2300,       2.39433249,       1.80000000,       1.86521500,       1.40222255
     42510,     30635.8900,       2.39432974,       1.80000000,       1.87570600,       1.41011104
     51012,     29268.7200,       2.39433129,       1.80000000,       1.96332300,       1.47597846
     61214,     27171.8700,       2.39433187,       1.80000000,       2.11483300,       1.58987960
     73457,     24961.0500,       2.39433407,       1.80000000,       2.30214700,       1.73069609
     88148,     22422.6000,       2.39433215,       1.80000000,       2.56277000,       1.92662743
    105778,     21026.1400,       2.39433174,       1.80000000,       2.73297700,       2.05458522
    126934,     20053.0600,       2.39433189,       1.80000000,       2.86559600,       2.15428480
    152321,     19400.7400,       2.39433593,       1.80000000,       2.96195300,       2.22671987
    182785,     18748.1400,       2.39433318,       1.80000000,       3.06505100,       2.30422893
    219342,     18347.5900,       2.39433384,       1.80000000,       3.13196600,       2.35453331
    263210,     17953.8400,       2.39432807,       1.80000000,       3.20064500,       2.40617026
    315852,     17697.2100,       2.39433157,       1.80000000,       3.24706300,       2.44106266
    379022,     17480.3600,       2.39433762,       1.80000000,       3.28735200,       2.47134470
    454826,     17194.9500,       2.39433335,       1.80000000,       3.34191200,       2.51236596
    545791,     17193.9900,       2.39433764,       1.80000000,       3.34210400,       2.51250579
    654949,     17128.9200,       2.39433847,       1.80000000,       3.35480100,       2.52205020
    785939,     17092.5900,       2.39433602,       1.80000000,       3.36192800,       2.52741067
    943127,     17095.5500,       2.39433917,       1.80000000,       3.36135100,       2.52697357
   1131752,     17004.1800,       2.39433958,       1.80000000,       3.37941300,       2.54055166
   1358102,     17074.5700,       2.39427834,       1.80000000,       3.36539500,       2.53007802
   1629722,     16959.4200,       2.39433795,       1.80000000,       3.38833000,       2.54725695
   1955666,     17004.5600,       2.39433764,       1.80000000,       3.37933600,       2.54049584
   2346799,     16997.3200,       2.39433793,       1.80000000,       3.38077500,       2.54157733
   2816159,     17065.1400,       2.39433454,       1.80000000,       3.36733400,       2.53147632
   3379391,     16996.8800,       2.39433782,       1.80000000,       3.38086300,       2.54164360
   4055269,     16910.2300,       2.39433163,       1.80000000,       3.39817600,       2.55466567
   4866323,     16990.1700,       2.39432847,       1.80000000,       3.38218400,       2.54264662
   5839588,     16974.9700,       2.39433170,       1.80000000,       3.38521700,       2.54492333
