  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    116339.2600,       2.39433280,       1.80000000,       0.16464500,       0.12377603
         6,    118452.7800,       2.39433225,       1.80000000,       0.16170700,       0.12156734
         7,    120365.9400,       2.39433592,       1.80000000,       0.15913700,       0.11963509
         8,    121386.5700,       2.39433338,       1.80000000,       0.15779900,       0.11862934
        10,    121703.6200,       2.39432933,       1.80000000,       0.15738800,       0.11832057
        12,    123591.5900,       2.39433421,       1.80000000,       0.15498400,       0.11651306
        14,    123218.2500,       2.39428421,       1.80000000,       0.15545000,       0.11686583
        17,    123673.6100,       2.39433053,       1.80000000,       0.15488100,       0.11643580
        20,    124431.4800,       2.39433217,       1.80000000,       0.15393700,       0.11572605
        24,    125183.0300,       2.39433096,       1.80000000,       0.15301300,       0.11503147
        29,    125361.9400,       2.39433466,       1.80000000,       0.15279500,       0.11486740
        35,    125547.0100,       2.39433349,       1.80000000,       0.15257000,       0.11469831
        42,    126147.7200,       2.39433789,       1.80000000,       0.15184300,       0.11415156
        50,    118226.6100,       2.39433247,       1.80000000,       0.16201600,       0.12179963
        60,     83590.5200,       2.39433591,       1.80000000,       0.22914900,       0.17226831
        72,     84095.1800,       2.39433093,       1.80000000,       0.22777300,       0.17123422
        86,     84501.8100,       2.39433596,       1.80000000,       0.22667800,       0.17041067
       103,     84949.0700,       2.39433267,       1.80000000,       0.22548400,       0.16951329
       124,     85255.9200,       2.39433437,       1.80000000,       0.22467300,       0.16890348
       149,     85516.1900,       2.39433406,       1.80000000,       0.22398900,       0.16838928
       179,     85764.2900,       2.39430792,       1.80000000,       0.22333800,       0.16790171
       215,     85927.8700,       2.39433201,       1.80000000,       0.22291600,       0.16758277
       258,     85801.9200,       2.39433339,       1.80000000,       0.22324300,       0.16782851
       310,     84305.7700,       2.39433247,       1.80000000,       0.22720500,       0.17080711
       372,     83597.2900,       2.39433177,       1.80000000,       0.22913000,       0.17225432
       446,     83284.2100,       2.39433117,       1.80000000,       0.22999100,       0.17290165
       535,     83164.8400,       2.39433483,       1.80000000,       0.23032200,       0.17315022
       642,     83133.2700,       2.39429969,       1.80000000,       0.23040600,       0.17321591
       770,     65297.7800,       2.39433434,       1.80000000,       0.29334300,       0.22052785
       924,     75777.1600,       2.39412676,       1.80000000,       0.25275400,       0.19003054
      1109,     83013.3800,       2.39433438,       1.80000000,       0.23074200,       0.17346600
      1331,     36579.8400,       2.39433155,       1.80000000,       0.52364000,       0.39365977
      1597,     27805.1900,       2.39433365,       1.80000000,       0.68888800,       0.51788872
      1916,     24293.3300,       2.39433543,       1.80000000,       0.78847500,       0.59275529
