  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,     97303.5700,       2.39432698,       1.80000000,       0.19685400,       0.14799031
         6,    107678.2000,       2.39432947,       1.80000000,       0.17788800,       0.13373197
         7,    108934.8500,       2.39433080,       1.80000000,       0.17583600,       0.13218925
         8,    105459.5900,       2.39431207,       1.80000000,       0.18162900,       0.13654536
        10,    110485.8300,       2.39433135,       1.80000000,       0.17336700,       0.13033309
        12,    106674.6600,       2.39432923,       1.80000000,       0.17956100,       0.13498971
        14,    103214.4800,       2.39426554,       1.80000000,       0.18557600,       0.13951535
        17,    106989.3800,       2.39433123,       1.80000000,       0.17903300,       0.13459266
        20,    107088.7600,       2.39433101,       1.80000000,       0.17886700,       0.13446787
        24,    108021.8400,       2.39433185,       1.80000000,       0.17732200,       0.13330633
        29,    108679.0200,       2.39433215,       1.80000000,       0.17625000,       0.13250041
        35,    109808.4900,       2.39433032,       1.80000000,       0.17443700,       0.13113754
        42,    110677.7200,       2.39432863,       1.80000000,       0.17306700,       0.13010770
        50,     49733.3800,       2.39433187,       1.80000000,       0.38514700,       0.28954407
        60,     33043.6800,       2.39433284,       1.80000000,       0.57967700,       0.43578678
        72,     33415.7200,       2.39432981,       1.80000000,       0.57322200,       0.43093462
        86,     33856.9400,       2.39433184,       1.80000000,       0.56575300,       0.42531924
       103,     33267.1000,       2.39433167,       1.80000000,       0.57578400,       0.43286033
       124,     34203.8300,       2.39432855,       1.80000000,       0.56001400,       0.42100538
       149,     34617.1600,       2.39433064,       1.80000000,       0.55332800,       0.41597864
       179,     34909.3700,       2.39433382,       1.80000000,       0.54869700,       0.41249662
       215,     35116.7600,       2.39432998,       1.80000000,       0.54545600,       0.41006077
       258,     35302.6900,       2.39432917,       1.80000000,       0.54258300,       0.40790106
       310,     35487.2600,       2.39432832,       1.80000000,       0.53976100,       0.40577969
       372,     35600.7000,       2.39432836,       1.80000000,       0.53804100,       0.40448663
       446,     35725.2000,       2.39433335,       1.80000000,       0.53616700,       0.40307696
       535,     35808.7600,       2.39432858,       1.80000000,       0.53491500,       0.40213654
       642,     35899.7700,       2.39427447,       1.80000000,       0.53354600,       0.40111642
       770,     35979.1200,       2.39433008,       1.80000000,       0.53238200,       0.40023203
       924,     34469.1500,       2.39432902,       1.80000000,       0.55570400,       0.41776514
      1109,     36060.9900,       2.39433189,       1.80000000,       0.53117400,       0.39932359
      1331,     27069.7000,       2.39433143,       1.80000000,       0.70760500,       0.53196019
      1597,     23704.4600,       2.39433223,       1.80000000,       0.80806100,       0.60748036
      1916,     21408.2100,       2.39433087,       1.80000000,       0.89473400,       0.67263937
      2299,     19717.6900,       2.39432988,       1.80000000,       0.97144400,       0.73030839
      2759,     19415.5700,       2.39432905,       1.80000000,       0.98656000,       0.74167249
      3311,     19429.8500,       2.39433032,       1.80000000,       0.98583600,       0.74112781
      3973,     19434.5700,       2.39432702,       1.80000000,       0.98559500,       0.74094766
      4768,     19438.4800,       2.39433143,       1.80000000,       0.98539900,       0.74079895
      5722,     19436.2400,       2.39432657,       1.80000000,       0.98551000,       0.74088390
      6866,     19441.7200,       2.39432822,       1.80000000,       0.98523300,       0.74067514
      8239,     19440.1000,       2.39433058,       1.80000000,       0.98531600,       0.74073681
      9887,     19450.4100,       2.39432923,       1.80000000,       0.98479300,       0.74034405
     11864,     19423.4200,       2.39433159,       1.80000000,       0.98616300,       0.74137325
     14237,     19385.1500,       2.39432875,       1.80000000,       0.98810900,       0.74283709
     17084,     18519.7100,       2.39433263,       1.80000000,       1.03428500,       0.77754986
     20501,     17629.2100,       2.39433435,       1.80000000,       1.08653100,       0.81682652
