  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    136036.1600,       2.39433300,       1.80000000,       0.28161100,       0.21170815
         6,    141064.5300,       2.39433142,       1.80000000,       0.27157300,       0.20416196
         7,    142872.1100,       2.39432938,       1.80000000,       0.26813700,       0.20157903
         8,    142543.6000,       2.39432806,       1.80000000,       0.26875500,       0.20204374
        10,    144296.3500,       2.39433083,       1.80000000,       0.26549000,       0.19958896
        12,    142269.9000,       2.39433181,       1.80000000,       0.26927200,       0.20243209
        14,    146401.1000,       2.39433069,       1.80000000,       0.26167400,       0.19672019
        17,    142020.9100,       2.39433327,       1.80000000,       0.26974400,       0.20278681
        20,    139997.5600,       2.39433162,       1.80000000,       0.27364300,       0.20571812
        24,    146037.0100,       2.39432805,       1.80000000,       0.26232600,       0.19721057
        29,    144050.3200,       2.39432964,       1.80000000,       0.26594400,       0.19993037
        35,    145545.6800,       2.39433219,       1.80000000,       0.26321200,       0.19787630
        42,    146545.2300,       2.39433193,       1.80000000,       0.26141600,       0.19652613
        50,    140588.2500,       2.39433128,       1.80000000,       0.27249300,       0.20485361
        60,     66819.3500,       2.39433197,       1.80000000,       0.57332700,       0.43101316
        72,     66683.0500,       2.39433316,       1.80000000,       0.57449900,       0.43189403
        86,     66684.5200,       2.39433156,       1.80000000,       0.57448600,       0.43188455
       103,     66719.4000,       2.39432813,       1.80000000,       0.57418500,       0.43165888
       124,     66782.3900,       2.39433257,       1.80000000,       0.57364400,       0.43125137
       149,     66784.8500,       2.39433061,       1.80000000,       0.57362200,       0.43123518
       179,     66814.8100,       2.39432744,       1.80000000,       0.57336400,       0.43104180
       215,     66804.3900,       2.39433150,       1.80000000,       0.57345500,       0.43110948
       258,     66841.5700,       2.39432716,       1.80000000,       0.57313500,       0.43086969
       310,     66827.9700,       2.39433089,       1.80000000,       0.57325200,       0.43095698
       372,     66853.0200,       2.39433042,       1.80000000,       0.57303700,       0.43079543
       446,     66863.5100,       2.39433011,       1.80000000,       0.57294800,       0.43072858
       535,     66872.2700,       2.39432933,       1.80000000,       0.57287200,       0.43067158
       642,     66888.2700,       2.39432701,       1.80000000,       0.57273500,       0.43056901
       770,     66887.4800,       2.39433309,       1.80000000,       0.57274300,       0.43057393
       924,     66900.0800,       2.39433084,       1.80000000,       0.57263500,       0.43049314
      1109,     64722.8900,       2.39432873,       1.80000000,       0.59189700,       0.44497424
      1331,     56244.4200,       2.39433072,       1.80000000,       0.68112200,       0.51205107
      1597,     50317.0500,       2.39433274,       1.80000000,       0.76135900,       0.57237082
      1916,     44458.2000,       2.39433110,       1.80000000,       0.86169200,       0.64779913
      2299,     40612.7100,       2.39432772,       1.80000000,       0.94328200,       0.70913751
      2759,     40162.0700,       2.39432834,       1.80000000,       0.95386700,       0.71709488
      3311,     40147.5300,       2.39433374,       1.80000000,       0.95421400,       0.71735413
      3973,     40151.0400,       2.39432921,       1.80000000,       0.95412900,       0.71729159
      4768,     40154.6400,       2.39433281,       1.80000000,       0.95404500,       0.71722736
      5722,     40157.5300,       2.39433032,       1.80000000,       0.95397500,       0.71717548
      6866,     40166.5400,       2.39432999,       1.80000000,       0.95376100,       0.71701470
      8239,     40164.1200,       2.39432661,       1.80000000,       0.95381700,       0.71705781
      9887,     40168.3900,       2.39433033,       1.80000000,       0.95371700,       0.71698152
     11864,     40170.1500,       2.39433111,       1.80000000,       0.95367600,       0.71695046
     14237,     40166.9400,       2.39432189,       1.80000000,       0.95374800,       0.71700735
     17084,     39979.6100,       2.39432720,       1.80000000,       0.95821900,       0.72036696
     20501,     39613.7000,       2.39433245,       1.80000000,       0.96707200,       0.72702085
     24601,     38151.1000,       2.39432642,       1.80000000,       1.00414500,       0.75489331
     29521,     35126.9700,       2.39433222,       1.80000000,       1.09059500,       0.81988246
     35425,     31950.6000,       2.39432241,       1.80000000,       1.19901200,       0.90139139
     42510,     27239.8800,       2.39433271,       1.80000000,       1.40636900,       1.05727336
     51012,     25694.9900,       2.39432946,       1.80000000,       1.49092400,       1.12084124
     61214,     24455.8600,       2.39432657,       1.80000000,       1.56646400,       1.17763184
     73457,     23499.3600,       2.39433159,       1.80000000,       1.63022700,       1.22556484
     88148,     22595.8300,       2.39433041,       1.80000000,       1.69541400,       1.27457146
    105778,     21952.6100,       2.39433033,       1.80000000,       1.74509000,       1.31191672
    126934,     21652.0400,       2.39431168,       1.80000000,       1.76930200,       1.33012908
    152321,     21605.7200,       2.39432805,       1.80000000,       1.77310700,       1.33298050
    182785,     21470.0600,       2.39433143,       1.80000000,       1.78431300,       1.34140302
    219342,     21377.0000,       2.39433233,       1.80000000,       1.79208100,       1.34724230
    263210,     21340.2300,       2.39432765,       1.80000000,       1.79516600,       1.34956417
    315852,     21301.6400,       2.39433147,       1.80000000,       1.79842100,       1.35200904
    379022,     21274.3500,       2.39432811,       1.80000000,       1.80072500,       1.35374303
    454826,     21263.7700,       2.39433036,       1.80000000,       1.80162200,       1.35441611
    545791,     21249.6500,       2.39432730,       1.80000000,       1.80281800,       1.35531696
