  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    117343.2600,       2.39433459,       1.80000000,       0.32647300,       0.24543412
         6,    118432.0400,       2.39433448,       1.80000000,       0.32347100,       0.24317730
         7,    121312.1500,       2.39433589,       1.80000000,       0.31579200,       0.23740428
         8,    122884.6300,       2.39433353,       1.80000000,       0.31175000,       0.23436584
        10,    121248.7200,       2.39433460,       1.80000000,       0.31595700,       0.23752846
        12,    123478.5800,       2.39430452,       1.80000000,       0.31024700,       0.23323875
        14,    123406.6700,       2.39432469,       1.80000000,       0.31043000,       0.23337436
        17,    123354.6000,       2.39413359,       1.80000000,       0.31053700,       0.23347344
        20,    124418.9400,       2.39433156,       1.80000000,       0.30790600,       0.23147621
        24,    125062.8100,       2.39433593,       1.80000000,       0.30632100,       0.23028423
        29,    125635.9200,       2.39433197,       1.80000000,       0.30492300,       0.22923363
        35,    125918.1900,       2.39433297,       1.80000000,       0.30424000,       0.22872007
        42,    125455.0600,       2.39433696,       1.80000000,       0.30536300,       0.22956393
        50,    123082.1300,       2.39433463,       1.80000000,       0.31125000,       0.23398985
        60,     91953.9800,       2.39429117,       1.80000000,       0.41660700,       0.31320025
        72,     81791.1000,       2.39433457,       1.80000000,       0.46838000,       0.35211620
        86,     81328.6000,       2.39433566,       1.80000000,       0.47104400,       0.35411877
       103,     81630.0900,       2.39429543,       1.80000000,       0.46929700,       0.35281135
       124,     81877.0000,       2.39433080,       1.80000000,       0.46788800,       0.35174689
       149,     81901.1400,       2.39433535,       1.80000000,       0.46775100,       0.35164322
       179,     82088.5700,       2.39433297,       1.80000000,       0.46668300,       0.35084068
       215,     82274.1800,       2.39433058,       1.80000000,       0.46563000,       0.35004941
       258,     82426.1600,       2.39433559,       1.80000000,       0.46477200,       0.34940365
       310,     82456.5300,       2.39419350,       1.80000000,       0.46457300,       0.34927478
       372,     82553.5300,       2.39433383,       1.80000000,       0.46405500,       0.34886489
       446,     82554.8500,       2.39433310,       1.80000000,       0.46404700,       0.34885898
       535,     82644.8000,       2.39433287,       1.80000000,       0.46354200,       0.34847937
       642,     82707.5200,       2.39433247,       1.80000000,       0.46319000,       0.34821480
       770,     82790.1800,       2.39433491,       1.80000000,       0.46272800,       0.34786712
       924,     81393.1500,       2.39433451,       1.80000000,       0.47067000,       0.35383778
      1109,     50150.4300,       2.39433458,       1.80000000,       0.76388900,       0.57427237
      1331,     44619.4300,       2.39433701,       1.80000000,       0.85858100,       0.64545876
