  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    112861.5000,       2.79471187,       2.10000000,       0.39619700,       0.29771001
         6,    115388.3400,       2.79471192,       2.10000000,       0.38752100,       0.29119069
         7,    117574.1300,       2.79470877,       2.10000000,       0.38031600,       0.28577704
         8,    109467.9600,       2.79471154,       2.10000000,       0.40847900,       0.30693898
        10,    113732.1200,       2.79470928,       2.10000000,       0.39316400,       0.29543123
        12,    116278.6000,       2.79471084,       2.10000000,       0.38455400,       0.28896134
        14,    118294.1600,       2.79470933,       2.10000000,       0.37800100,       0.28403745
        17,    114131.8600,       2.79471536,       2.10000000,       0.39178800,       0.29439664
        20,    122377.0700,       2.79470963,       2.10000000,       0.36539000,       0.27456126
        24,    124060.5100,       2.79470672,       2.10000000,       0.36043100,       0.27083525
        29,    118305.9700,       2.79471141,       2.10000000,       0.37796400,       0.28400943
        35,    102450.5200,       2.79471247,       2.10000000,       0.43645800,       0.32796283
        42,     66303.3000,       2.79470786,       2.10000000,       0.67440600,       0.50676231
        50,     65099.5500,       2.79471503,       2.10000000,       0.68687800,       0.51613270
        60,     65398.8300,       2.79470772,       2.10000000,       0.68373300,       0.51377083
        72,     65657.4500,       2.79470928,       2.10000000,       0.68104000,       0.51174697
        86,     65871.4900,       2.79471485,       2.10000000,       0.67882800,       0.51008381
       103,     66049.1400,       2.79470919,       2.10000000,       0.67700100,       0.50871200
       124,     66207.1000,       2.79470947,       2.10000000,       0.67538600,       0.50749841
       149,     66338.8600,       2.79470898,       2.10000000,       0.67404500,       0.50649084
       179,     66446.1600,       2.79470669,       2.10000000,       0.67295500,       0.50567221
       215,     66529.6600,       2.79471254,       2.10000000,       0.67211200,       0.50503770
       258,     66476.1900,       2.79471563,       2.10000000,       0.67265400,       0.50544441
       310,     66565.4000,       2.79470987,       2.10000000,       0.67175100,       0.50476692
       372,     64692.2600,       2.79470786,       2.10000000,       0.69120100,       0.51938241
       446,     64759.3500,       2.79471314,       2.10000000,       0.69048600,       0.51884416
       535,     60789.9600,       2.79471122,       2.10000000,       0.73557200,       0.55272301
       642,     59607.8500,       2.79471280,       2.10000000,       0.75016000,       0.56368440
       770,     58104.8800,       2.79470872,       2.10000000,       0.76956200,       0.57826427
       924,     55826.8500,       2.79470915,       2.10000000,       0.80096500,       0.60186102
      1109,     53957.9700,       2.79470739,       2.10000000,       0.82870600,       0.62270655
      1331,     53671.8000,       2.79470802,       2.10000000,       0.83312500,       0.62602694
      1597,     53681.7100,       2.79471003,       2.10000000,       0.83297200,       0.62591152
      1916,     53784.3300,       2.79471138,       2.10000000,       0.83138300,       0.62471721
      2299,     53690.5800,       2.79470077,       2.10000000,       0.83283200,       0.62580839
      2759,     53789.6200,       2.79471188,       2.10000000,       0.83130100,       0.62465548
      3311,     53713.4000,       2.79471370,       2.10000000,       0.83248200,       0.62554250
      3973,     53807.2100,       2.79470670,       2.10000000,       0.83102800,       0.62445150
      4768,     54052.8500,       2.79470822,       2.10000000,       0.82725200,       0.62161380
      5722,     54035.6500,       2.79471144,       2.10000000,       0.82751600,       0.62181146
      6866,     53999.5400,       2.79471152,       2.10000000,       0.82807000,       0.62222773
      8239,     53796.7800,       2.79471224,       2.10000000,       0.83119100,       0.62457275
      9887,     53152.0800,       2.79471050,       2.10000000,       0.84127200,       0.63214820
     11864,     53929.5700,       2.79470860,       2.10000000,       0.82914300,       0.62303465
     14237,     53955.0600,       2.79471233,       2.10000000,       0.82875300,       0.62274077
     17084,     53903.3000,       2.79471323,       2.10000000,       0.82954900,       0.62333869
     20501,     53884.2700,       2.79470964,       2.10000000,       0.82984100,       0.62355891
     24601,     53859.5900,       2.79469769,       2.10000000,       0.83021700,       0.62384411
     29521,     53110.3500,       2.79471088,       2.10000000,       0.84193300,       0.63264480
     35425,     48728.6300,       2.79470803,       2.10000000,       0.91764000,       0.68953321
     42510,     46703.8500,       2.79471050,       2.10000000,       0.95742400,       0.71942707
     51012,     46566.5500,       2.79471091,       2.10000000,       0.96024700,       0.72154822
     61214,     45069.9400,       2.79470751,       2.10000000,       0.99213200,       0.74550814
     73457,     44446.9500,       2.79470644,       2.10000000,       1.00603800,       0.75595768
     88148,     42824.6800,       2.79471089,       2.10000000,       1.04415000,       0.78459457
    105778,     42297.0600,       2.79471140,       2.10000000,       1.05717500,       0.79438167
