  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    129614.5500,       2.79471020,       2.10000000,       0.51748100,       0.38884536
         6,    132985.3500,       2.79468627,       2.10000000,       0.50436000,       0.37898923
         7,    137162.3500,       2.79468405,       2.10000000,       0.48900000,       0.36744762
         8,    139431.2400,       2.79471497,       2.10000000,       0.48104800,       0.36146828
        10,    143443.3700,       2.79470910,       2.10000000,       0.46759200,       0.35135793
        12,    141715.3500,       2.79471177,       2.10000000,       0.47329400,       0.35564219
        14,    146170.3300,       2.79470672,       2.10000000,       0.45886800,       0.34480284
        17,    150372.0400,       2.79470807,       2.10000000,       0.44604700,       0.33516871
        20,    151849.6800,       2.79471031,       2.10000000,       0.44170700,       0.33190728
        24,    152694.1500,       2.79467356,       2.10000000,       0.43925800,       0.33007139
        29,    150117.6100,       2.79471084,       2.10000000,       0.44680300,       0.33573645
        35,    142459.0900,       2.79470954,       2.10000000,       0.47082300,       0.35378571
        42,     92910.0800,       2.79471094,       2.10000000,       0.72191400,       0.54246018
        50,     71763.8800,       2.79470560,       2.10000000,       0.93463400,       0.70230346
        60,     68668.3800,       2.79471097,       2.10000000,       0.97676800,       0.73396241
        72,     67044.2100,       2.79470594,       2.10000000,       1.00042900,       0.75174310
        86,     66661.2000,       2.79471551,       2.10000000,       1.00618000,       0.75606193
       103,     66413.1600,       2.79471014,       2.10000000,       1.00993600,       0.75888571
       124,     66473.0700,       2.79471158,       2.10000000,       1.00902600,       0.75820153
       149,     66549.9500,       2.79471225,       2.10000000,       1.00786100,       0.75732595
       179,     66622.7500,       2.79471115,       2.10000000,       1.00675900,       0.75649818
       215,     66685.5700,       2.79470993,       2.10000000,       1.00581000,       0.75578541
       258,     65311.4800,       2.79462855,       2.10000000,       1.02694200,       0.77168688
       310,     66709.9400,       2.79470861,       2.10000000,       1.00544200,       0.75550925
       372,     65165.0800,       2.79471011,       2.10000000,       1.02927900,       0.77342043
       446,     61407.0900,       2.79471033,       2.10000000,       1.09226900,       0.82075229
       535,     58890.8400,       2.79471114,       2.10000000,       1.13893900,       0.85582079
