  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    113426.8200,       2.79471213,       2.10000000,       0.19711100,       0.14811297
         6,    117161.2100,       2.79471196,       2.10000000,       0.19082800,       0.14339181
         7,    118687.0000,       2.79471303,       2.10000000,       0.18837500,       0.14154852
         8,    120907.3800,       2.79471552,       2.10000000,       0.18491600,       0.13894924
        10,    123102.5200,       2.79471041,       2.10000000,       0.18161800,       0.13647131
        12,    124187.7400,       2.79468857,       2.10000000,       0.18003000,       0.13527912
        14,    125185.9000,       2.79470952,       2.10000000,       0.17859600,       0.13420057
        17,    126819.6500,       2.79471206,       2.10000000,       0.17629500,       0.13247143
        20,    127900.7900,       2.79466918,       2.10000000,       0.17480200,       0.13135158
        24,    128806.1700,       2.79468304,       2.10000000,       0.17357400,       0.13042817
        29,    123607.9100,       2.79464891,       2.10000000,       0.18087200,       0.13591375
        35,     90875.2600,       2.79471115,       2.10000000,       0.24602600,       0.18486869
        42,     64915.8000,       2.79465946,       2.10000000,       0.34440400,       0.25879661
        50,     65134.3900,       2.79465421,       2.10000000,       0.34324800,       0.25792844
        60,     65396.3100,       2.79465307,       2.10000000,       0.34187300,       0.25689532
        72,     65659.4600,       2.79464730,       2.10000000,       0.34050200,       0.25586563
        86,     65884.7300,       2.79471648,       2.10000000,       0.33934600,       0.25499066
       103,     66048.0900,       2.79396976,       2.10000000,       0.33841600,       0.25435980
       124,     66224.7700,       2.79471205,       2.10000000,       0.33760300,       0.25368134
       149,     66354.3400,       2.79471265,       2.10000000,       0.33694400,       0.25318610
       179,     66445.6000,       2.79471460,       2.10000000,       0.33648100,       0.25283802
       215,     66541.8400,       2.79470898,       2.10000000,       0.33599400,       0.25247258
       258,     66384.0300,       2.79471457,       2.10000000,       0.33679400,       0.25307321
       310,     65064.5200,       2.79469510,       2.10000000,       0.34362100,       0.25820495
       372,     59573.0200,       2.79465002,       2.10000000,       0.37529100,       0.28200708
       446,     57303.8000,       2.79464172,       2.10000000,       0.39015100,       0.29317429
       535,     57555.0800,       2.79470565,       2.10000000,       0.38845700,       0.29189468
       642,     55049.8900,       2.79367589,       2.10000000,       0.40598500,       0.30517803
       770,     53724.5500,       2.79471148,       2.10000000,       0.41615400,       0.31270613
       924,     52377.2200,       2.79463592,       2.10000000,       0.42684800,       0.32075047
      1109,     52064.9300,       2.79462862,       2.10000000,       0.42940700,       0.32267425
      1331,     52117.3300,       2.79470913,       2.10000000,       0.42898700,       0.32234936
      1597,     52027.6500,       2.79463025,       2.10000000,       0.42971500,       0.32290551
      1916,     52208.1700,       2.79471155,       2.10000000,       0.42824100,       0.32178852
      2299,     52275.4900,       2.79471395,       2.10000000,       0.42769000,       0.32137421
      2759,     53566.2300,       2.79471136,       2.10000000,       0.41738400,       0.31363038
      3311,     53344.2000,       2.79471321,       2.10000000,       0.41912200,       0.31493614
      3973,     53178.0400,       2.79471472,       2.10000000,       0.42043100,       0.31591958
      4768,     53829.9600,       2.79471018,       2.10000000,       0.41533900,       0.31209386
      5722,     52983.0400,       2.79471351,       2.10000000,       0.42197900,       0.31708291
      6866,     53438.3100,       2.79471509,       2.10000000,       0.41838400,       0.31438139
      8239,     53686.4000,       2.79471294,       2.10000000,       0.41645000,       0.31292838
      9887,     53496.6000,       2.79470881,       2.10000000,       0.41792700,       0.31403869
     11864,     53878.0900,       2.79471297,       2.10000000,       0.41496800,       0.31181478
     14237,     53824.5200,       2.79459417,       2.10000000,       0.41536400,       0.31212561
