  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    107955.0600,       2.35005375,       2.00000000,       0.34830100,       0.29641960
         6,    110956.8300,       2.35005234,       2.00000000,       0.33887800,       0.28840039
         7,    113185.0600,       2.35004604,       2.00000000,       0.33220600,       0.28272297
         8,    114877.8300,       2.34962367,       2.00000000,       0.32725200,       0.27855695
        10,    117328.0700,       2.35005243,       2.00000000,       0.32047600,       0.27273945
        12,    118816.8500,       2.35004806,       2.00000000,       0.31646000,       0.26932215
        14,    120041.7400,       2.34960252,       2.00000000,       0.31317100,       0.26657360
        17,    121427.1300,       2.35004571,       2.00000000,       0.30965700,       0.26353275
        20,    122362.7800,       2.35002753,       2.00000000,       0.30728700,       0.26151779
        24,    119189.8900,       2.35004900,       2.00000000,       0.31547000,       0.26847951
        29,    119445.8100,       2.35004990,       2.00000000,       0.31479400,       0.26790410
        35,     94059.1100,       2.35004910,       2.00000000,       0.39975700,       0.34021162
        42,     61803.4800,       2.35004083,       2.00000000,       0.60839100,       0.51777058
        50,     62113.2500,       2.35004703,       2.00000000,       0.60535800,       0.51518799
        60,     62402.4700,       2.35004628,       2.00000000,       0.60255200,       0.51280011
        72,     62666.0400,       2.35004910,       2.00000000,       0.60001900,       0.51064380
        86,     62901.0900,       2.35005065,       2.00000000,       0.59777700,       0.50873542
       103,     63011.1000,       2.35004478,       2.00000000,       0.59673200,       0.50784735
       124,     63172.2900,       2.35005065,       2.00000000,       0.59521100,       0.50655164
       149,     63304.3000,       2.35004773,       2.00000000,       0.59396900,       0.50549526
       179,     63421.4800,       2.35005079,       2.00000000,       0.59287200,       0.50456101
       215,     63501.7800,       2.35004670,       2.00000000,       0.59212100,       0.50392275
       258,     63421.7500,       2.34956978,       2.00000000,       0.59274800,       0.50455875
       310,     63447.4100,       2.35004924,       2.00000000,       0.59262900,       0.50435454
       372,     61013.7300,       2.35005243,       2.00000000,       0.61626800,       0.52447170
       446,     60644.2900,       2.35004712,       2.00000000,       0.62002100,       0.52766687
       535,     58490.3300,       2.35004985,       2.00000000,       0.64285500,       0.54709903
       642,     54399.7400,       2.35004896,       2.00000000,       0.69119400,       0.58823796
       770,     49433.2800,       2.35004665,       2.00000000,       0.76063600,       0.64733694
       924,     50062.3600,       2.35002734,       2.00000000,       0.75107200,       0.63920278
      1109,     53408.5800,       2.35004445,       2.00000000,       0.70402000,       0.59915463
      1331,     55391.2200,       2.34983236,       2.00000000,       0.67875900,       0.57770844
      1597,     55419.8000,       2.35004651,       2.00000000,       0.67847100,       0.57741070
      1916,     52259.2800,       2.35004957,       2.00000000,       0.71950500,       0.61233177
      2299,     54440.5300,       2.35004637,       2.00000000,       0.69067600,       0.58779776
      2759,     54963.4600,       2.35004731,       2.00000000,       0.68410500,       0.58220530
      3311,     52963.8300,       2.35004773,       2.00000000,       0.70993300,       0.60418603
      3973,     54503.1000,       2.35004257,       2.00000000,       0.68988200,       0.58712298
      4768,     55507.4400,       2.35004830,       2.00000000,       0.67740100,       0.57649964
      5722,     54662.2100,       2.35004830,       2.00000000,       0.68787500,       0.58541350
      6866,     49088.3900,       2.35004525,       2.00000000,       0.76598000,       0.65188532
      8239,     52406.8600,       2.35004769,       2.00000000,       0.71747800,       0.61060718
      9887,     50848.0600,       2.35002960,       2.00000000,       0.73946700,       0.62932569
     11864,     54374.6500,       2.35004999,       2.00000000,       0.69151300,       0.58850918
     14237,     41347.1100,       2.35004717,       2.00000000,       0.90939300,       0.77393595
     17084,     33950.2200,       2.35004760,       2.00000000,       1.10752600,       0.94255623
     20501,     23172.8400,       2.35004445,       2.00000000,       1.62262000,       1.38092707
     24601,     19117.0600,       2.35004571,       2.00000000,       1.96686800,       1.67389765
     29521,     17614.3400,       2.35004468,       2.00000000,       2.13466500,       1.81670163
     35425,     17488.3900,       2.35004525,       2.00000000,       2.15003900,       1.82978520
     42510,     17530.5000,       2.35003402,       2.00000000,       2.14486400,       1.82538975
     51012,     17248.4400,       2.35004159,       2.00000000,       2.17994600,       1.85524036
     61214,     17501.9300,       2.35004712,       2.00000000,       2.14837800,       1.82837015
     73457,     17588.9400,       2.35004769,       2.00000000,       2.13775100,       1.81932564
     88148,     17469.1800,       2.35004698,       2.00000000,       2.15240500,       1.83179742
    105778,     17506.5200,       2.35004280,       2.00000000,       2.14781000,       1.82789011
    126934,     17381.1400,       2.35004351,       2.00000000,       2.16330400,       1.84107570
    152321,     17589.1600,       2.35004632,       2.00000000,       2.13772200,       1.81930201
    182785,     17506.9600,       2.35004524,       2.00000000,       2.14775800,       1.82784396
    219342,     17576.2500,       2.35004299,       2.00000000,       2.13929000,       1.82063904
    263210,     17402.1100,       2.35004722,       2.00000000,       2.16070100,       1.83885752
    315852,     17549.3000,       2.35004055,       2.00000000,       2.14257200,       1.82343406
    379022,     17587.7100,       2.35004886,       2.00000000,       2.13790100,       1.81945238
    454826,     17601.8600,       2.35004994,       2.00000000,       2.13618400,       1.81799030
    545791,     17571.0100,       2.35002847,       2.00000000,       2.13991500,       1.82118219
    654949,     17529.6800,       2.35004764,       2.00000000,       2.14497700,       1.82547533
    785939,     17601.0600,       2.35004267,       2.00000000,       2.13627400,       1.81807252
    943127,     17616.6600,       2.35004614,       2.00000000,       2.13438500,       1.81646221
   1131752,     17518.1500,       2.35004318,       2.00000000,       2.14638500,       1.82667708
   1358102,     17587.3000,       2.35003613,       2.00000000,       2.13793900,       1.81949458
   1629722,     17514.6300,       2.35004624,       2.00000000,       2.14681800,       1.82704320
   1955666,     17633.6500,       2.35004228,       2.00000000,       2.13232500,       1.81471203
   2346799,     17285.2200,       2.35004398,       2.00000000,       2.17531000,       1.85129302
   2816159,     17523.8500,       2.34961084,       2.00000000,       2.14529200,       1.82608282
   3379391,     17505.4800,       2.35004412,       2.00000000,       2.14793900,       1.82799888
   4055269,     17583.7600,       2.34956720,       2.00000000,       2.13794300,       1.81986113
   4866323,     17484.5400,       2.35004214,       2.00000000,       2.15050900,       1.83018761
   5839588,     17577.7500,       2.35004797,       2.00000000,       2.13911100,       1.82048284
