  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    118669.2100,       2.35004914,       2.00000000,       0.31685400,       0.26965734
         6,    119963.0400,       2.35002847,       2.00000000,       0.31343400,       0.26674911
         7,    121107.7800,       2.35003796,       2.00000000,       0.31047200,       0.26422722
         8,    121921.6100,       2.35004604,       2.00000000,       0.30840100,       0.26246379
        10,    123092.0100,       2.35004577,       2.00000000,       0.30546900,       0.25996855
        12,    119745.3400,       2.35003956,       2.00000000,       0.31400500,       0.26723380
        14,    120866.1400,       2.35004182,       2.00000000,       0.31109300,       0.26475529
        17,    122025.9500,       2.35004313,       2.00000000,       0.30813700,       0.26223944
        20,    122851.1900,       2.35004280,       2.00000000,       0.30606700,       0.26047781
        24,    122041.5800,       2.34957871,       2.00000000,       0.30803600,       0.26220530
        29,    124332.6100,       2.35004604,       2.00000000,       0.30242100,       0.25737453
        35,    113816.2800,       2.35002819,       2.00000000,       0.33036100,       0.28115493
        42,    105776.6800,       2.35004534,       2.00000000,       0.35547300,       0.30252438
        50,    106311.1200,       2.35004336,       2.00000000,       0.35368500,       0.30100296
        60,    106759.6400,       2.35004389,       2.00000000,       0.35220000,       0.29973908
        72,    107150.2100,       2.35004520,       2.00000000,       0.35091600,       0.29864617
        86,    107230.9900,       2.35004505,       2.00000000,       0.35065200,       0.29842151
       103,    107823.6100,       2.35000343,       2.00000000,       0.34871800,       0.29678084
       124,    107959.4800,       2.34956654,       2.00000000,       0.34821500,       0.29640786
       149,    108231.8800,       2.35004346,       2.00000000,       0.34740900,       0.29566177
       179,    108254.7800,       2.35001532,       2.00000000,       0.34733100,       0.29559892
       215,    108476.6800,       2.35004380,       2.00000000,       0.34662500,       0.29499450
       258,    106848.9100,       2.35004515,       2.00000000,       0.35190600,       0.29948871
       310,    106742.4300,       2.35003890,       2.00000000,       0.35225600,       0.29978738
       372,    103014.5700,       2.35004665,       2.00000000,       0.36500400,       0.31063554
       446,    100416.7100,       2.35004703,       2.00000000,       0.37444700,       0.31867192
       535,     97575.1900,       2.34954761,       2.00000000,       0.38527000,       0.32795249
       642,     92839.6800,       2.35003946,       2.00000000,       0.40500600,       0.34468017
       770,     89912.2800,       2.35004595,       2.00000000,       0.41819400,       0.35590283
       924,     84810.3200,       2.35004567,       2.00000000,       0.44335100,       0.37731267
      1109,     82482.5300,       2.35004463,       2.00000000,       0.45586300,       0.38796114
      1331,     86999.4500,       2.35002932,       2.00000000,       0.43219200,       0.36781839
      1597,     86937.2000,       2.35004835,       2.00000000,       0.43250500,       0.36808179
      1916,     86657.6800,       2.35004398,       2.00000000,       0.43389900,       0.36926883
      2299,     86695.2000,       2.35004614,       2.00000000,       0.43371200,       0.36910935
      2759,     86642.1200,       2.35004623,       2.00000000,       0.43397800,       0.36933571
      3311,     86681.8900,       2.35004849,       2.00000000,       0.43377900,       0.36916600
      3973,     87698.5900,       2.35004388,       2.00000000,       0.42874900,       0.36488595
      4768,     88501.3200,       2.35004004,       2.00000000,       0.42486000,       0.36157682
      5722,     87316.7800,       2.35004055,       2.00000000,       0.43062300,       0.36648134
      6866,     87943.2100,       2.35004548,       2.00000000,       0.42755700,       0.36387126
      8239,     88331.3200,       2.35004806,       2.00000000,       0.42567900,       0.36227259
      9887,     87648.1100,       2.35001912,       2.00000000,       0.42899200,       0.36509660
     11864,     88543.2900,       2.35004106,       2.00000000,       0.42465800,       0.36140475
     14237,     84726.8300,       2.35004167,       2.00000000,       0.44378700,       0.37768437
     17084,     63125.6700,       2.35002006,       2.00000000,       0.59564200,       0.50692503
     20501,     37851.8100,       2.35004487,       2.00000000,       0.99336700,       0.84540258
     24601,     35343.1900,       2.35004816,       2.00000000,       1.06387600,       0.90540783
     29521,     34180.5400,       2.35004618,       2.00000000,       1.10006300,       0.93620543
     35425,     33995.8900,       2.35004294,       2.00000000,       1.10603600,       0.94129003
     42510,     34075.1100,       2.35004538,       2.00000000,       1.10346600,       0.93910186
     51012,     34179.6300,       2.34957997,       2.00000000,       1.09987400,       0.93623032
     61214,     34298.4600,       2.35004407,       2.00000000,       1.09628000,       0.93298676
