  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    113890.1700,       2.35005178,       2.00000000,       0.49522500,       0.42145880
         6,    106922.1800,       2.35004652,       2.00000000,       0.52749700,       0.44892473
         7,    109960.8000,       2.35004698,       2.00000000,       0.51292000,       0.43651893
         8,    111512.9700,       2.35004760,       2.00000000,       0.50578100,       0.43044320
        10,    115036.9300,       2.35004778,       2.00000000,       0.49028700,       0.41725705
        12,    116920.7400,       2.35004727,       2.00000000,       0.48238800,       0.41053472
        14,    118333.5700,       2.34993695,       2.00000000,       0.47660600,       0.40563301
        17,    119953.6300,       2.35004609,       2.00000000,       0.47019100,       0.40015470
        20,    121119.2200,       2.35004741,       2.00000000,       0.46566600,       0.39630349
        24,    122133.7300,       2.34993521,       2.00000000,       0.46177600,       0.39301169
        29,    123092.4400,       2.35004821,       2.00000000,       0.45820200,       0.38995115
        35,    117742.9700,       2.35001612,       2.00000000,       0.47901300,       0.40766784
        42,     91776.4900,       2.35004774,       2.00000000,       0.61454900,       0.52300980
        50,     92217.1100,       2.35004694,       2.00000000,       0.61161200,       0.52051045
        60,     92779.8100,       2.35003867,       2.00000000,       0.60790100,       0.51735404
        72,     93099.2700,       2.35004633,       2.00000000,       0.60581700,       0.51557877
        86,     93668.1900,       2.34998022,       2.00000000,       0.60212000,       0.51244687
       103,     93884.2900,       2.35004971,       2.00000000,       0.60075200,       0.51126748
       124,     94292.5800,       2.35004506,       2.00000000,       0.59815000,       0.50905407
       149,     94677.9200,       2.35005173,       2.00000000,       0.59571700,       0.50698203
       179,     94650.0300,       2.35004750,       2.00000000,       0.59589100,       0.50713103
       215,     94919.0300,       2.35005056,       2.00000000,       0.59420300,       0.50569380
       258,     94981.5700,       2.35004792,       2.00000000,       0.59381200,       0.50536161
       310,     91688.3700,       2.35004797,       2.00000000,       0.61514000,       0.52351272
       372,     82832.6000,       2.34999136,       2.00000000,       0.68088900,       0.57948213
       446,     87761.6200,       2.34994268,       2.00000000,       0.64263400,       0.54693589
       535,     86587.3200,       2.35004544,       2.00000000,       0.65137800,       0.55435354
       642,     82381.4700,       2.35004900,       2.00000000,       0.68463400,       0.58265508
       770,     78630.8300,       2.35004976,       2.00000000,       0.71729100,       0.61044750
       924,     76789.6900,       2.35004792,       2.00000000,       0.73448900,       0.62508427
      1109,     75999.0800,       2.35004900,       2.00000000,       0.74213000,       0.63158683
      1331,     75402.7400,       2.35004844,       2.00000000,       0.74799900,       0.63658177
      1597,     75507.5100,       2.35004520,       2.00000000,       0.74696000,       0.63569841
      1916,     72216.9200,       2.35005046,       2.00000000,       0.78099700,       0.66466403
      2299,     71520.7200,       2.35004994,       2.00000000,       0.78859900,       0.67113382
      2759,     72118.3200,       2.34993023,       2.00000000,       0.78202500,       0.66557295
      3311,     73818.3600,       2.34957638,       2.00000000,       0.76390000,       0.65024487
      3973,     74309.2500,       2.35004708,       2.00000000,       0.75900600,       0.64594961
      4768,     73967.9900,       2.34977635,       2.00000000,       0.76241900,       0.64892899
      5722,     74613.0900,       2.35005023,       2.00000000,       0.75591600,       0.64331902
      6866,     76134.1900,       2.34995189,       2.00000000,       0.74078200,       0.63046567
      8239,     75467.6900,       2.35004816,       2.00000000,       0.74735500,       0.63603377
      9887,     78456.2300,       2.35004896,       2.00000000,       0.71888700,       0.61180598
     11864,     77608.7500,       2.35004689,       2.00000000,       0.72673700,       0.61848723
     14237,     74164.8300,       2.35004816,       2.00000000,       0.76048400,       0.64720716
     17084,     54985.2600,       2.34995452,       2.00000000,       1.02571000,       0.87296158
     20501,     38228.3300,       2.35004849,       2.00000000,       1.47537600,       1.25561324
     24601,     31574.0300,       2.35004900,       2.00000000,       1.78631500,       1.52023638
     29521,     30291.2700,       2.34999244,       2.00000000,       1.86191600,       1.58461446
     35425,     30047.2400,       2.35004919,       2.00000000,       1.87708400,       1.59748486
     42510,     30697.5100,       2.35005061,       2.00000000,       1.83732200,       1.56364462
     51012,     30374.3500,       2.35004722,       2.00000000,       1.85686700,       1.58028059
     61214,     30488.2100,       2.35004864,       2.00000000,       1.84993400,       1.57437933
     73457,     30315.1600,       2.35004689,       2.00000000,       1.86049200,       1.58336585
     88148,     30401.2600,       2.35004835,       2.00000000,       1.85522400,       1.57888156
    105778,     30509.4600,       2.35004952,       2.00000000,       1.84864600,       1.57328259
    126934,     30420.7800,       2.35004713,       2.00000000,       1.85403300,       1.57786878
    152321,     30390.4600,       2.35004727,       2.00000000,       1.85588300,       1.57944313
    182785,     30114.1600,       2.35004924,       2.00000000,       1.87291300,       1.59393511
    219342,     30704.8300,       2.35005071,       2.00000000,       1.83688400,       1.56327180
    263210,     30846.1700,       2.35003364,       2.00000000,       1.82845400,       1.55610879
    315852,     30645.7100,       2.35002922,       2.00000000,       1.84041100,       1.56628776
    379022,     30813.9700,       2.35004680,       2.00000000,       1.83037500,       1.55773494
    454826,     30064.5100,       2.35004459,       2.00000000,       1.87600200,       1.59656715
    545791,     31002.5000,       2.35004741,       2.00000000,       1.81924500,       1.54826238
    654949,     30766.3300,       2.35004454,       2.00000000,       1.83320700,       1.56014660
    785939,     30854.2100,       2.35004750,       2.00000000,       1.82798800,       1.55570302
    943127,     30430.1600,       2.35004858,       2.00000000,       1.85346300,       1.57738271
   1131752,     30885.7000,       2.35004586,       2.00000000,       1.82612400,       1.55411776
   1358102,     30927.5200,       2.35004548,       2.00000000,       1.82365400,       1.55201592
   1629722,     30584.7900,       2.35004849,       2.00000000,       1.84409200,       1.56940762
   1955666,     30629.6000,       2.35004604,       2.00000000,       1.84139200,       1.56711142
   2346799,     30478.0500,       2.35004402,       2.00000000,       1.85054700,       1.57490411
   2816159,     30666.7700,       2.35004421,       2.00000000,       1.83915900,       1.56521225
   3379391,     30832.4900,       2.35004830,       2.00000000,       1.82927700,       1.55679949
   4055269,     30488.6100,       2.35004529,       2.00000000,       1.84990700,       1.57435859
   4866323,     30878.1600,       2.35005004,       2.00000000,       1.82657300,       1.55449711
   5839588,     30810.8100,       2.34996565,       2.00000000,       1.83050000,       1.55789511
