  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    107006.2200,       2.35004708,       2.00000000,       0.70277700,       0.59809610
         6,    110132.4900,       2.34992652,       2.00000000,       0.68279300,       0.58111860
         7,    112659.8700,       2.35004886,       2.00000000,       0.66751000,       0.56808181
         8,    114231.3000,       2.35004553,       2.00000000,       0.65832600,       0.56026659
        10,    116855.0000,       2.35001527,       2.00000000,       0.64353700,       0.54768751
        12,    118521.6200,       2.35002429,       2.00000000,       0.63449000,       0.53998591
        14,    120062.4800,       2.35004665,       2.00000000,       0.62635300,       0.53305580
        17,    121399.2000,       2.35004398,       2.00000000,       0.61945600,       0.52718673
        20,    122342.2600,       2.35004445,       2.00000000,       0.61468100,       0.52312287
        24,    123141.0000,       2.34995485,       2.00000000,       0.61067000,       0.51972913
        29,    123360.9600,       2.35004543,       2.00000000,       0.60960500,       0.51880274
        35,    111451.4000,       2.35004901,       2.00000000,       0.67474800,       0.57424164
        42,     80075.3600,       2.35004759,       2.00000000,       0.93913400,       0.79924679
        50,     62813.0200,       2.34994151,       2.00000000,       1.19717400,       1.01889685
        60,     62133.3900,       2.34999389,       2.00000000,       1.21029600,       1.03004183
        72,     62275.5000,       2.34995950,       2.00000000,       1.20751700,       1.02769175
        86,     62523.6000,       2.35003317,       2.00000000,       1.20276300,       1.02361364
       103,     62766.2500,       2.35000634,       2.00000000,       1.19809900,       1.01965597
       124,     62951.0200,       2.35004966,       2.00000000,       1.19460500,       1.01666362
       149,     63081.5600,       2.34997392,       2.00000000,       1.19209400,       1.01455934
       179,     63061.8700,       2.35004482,       2.00000000,       1.19250200,       1.01487596
       215,     63335.6000,       2.35004369,       2.00000000,       1.18734800,       1.01049015
       258,     63359.8500,       2.35004623,       2.00000000,       1.18689500,       1.01010353
       310,     61408.8700,       2.35004736,       2.00000000,       1.22460400,       1.04219517
       372,     56063.0300,       2.35004712,       2.00000000,       1.34137400,       1.14157200
       446,     59204.7700,       2.35000639,       2.00000000,       1.27017100,       1.08099366
       535,     56383.1900,       2.35003500,       2.00000000,       1.33375100,       1.13509033
       642,     53975.9200,       2.35004576,       2.00000000,       1.39324100,       1.18571393
       770,     53478.5400,       2.35004689,       2.00000000,       1.40620000,       1.19674208
       924,     51338.0000,       2.35004388,       2.00000000,       1.46482900,       1.24663970
      1109,     49208.2900,       2.35004976,       2.00000000,       1.52823000,       1.30059374
      1331,     50039.6900,       2.34994465,       2.00000000,       1.50277200,       1.27898502
      1597,     49341.7500,       2.35004994,       2.00000000,       1.52409700,       1.29707626
      1916,     47334.5000,       2.35004886,       2.00000000,       1.58872600,       1.35207912
      2299,     48827.3200,       2.35004473,       2.00000000,       1.54015100,       1.31074186
      2759,     49131.3000,       2.35004322,       2.00000000,       1.53062100,       1.30263221
      3311,     49069.0800,       2.35004609,       2.00000000,       1.53256300,       1.30428335
      3973,     49155.9000,       2.35000507,       2.00000000,       1.52983000,       1.30198017
      4768,     48356.7500,       2.34995198,       2.00000000,       1.55507700,       1.32349683
      5722,     48380.3700,       2.35004412,       2.00000000,       1.55437800,       1.32285006
      6866,     48649.3100,       2.34999685,       2.00000000,       1.54575500,       1.31553793
      8239,     47242.3000,       2.34969563,       2.00000000,       1.59158800,       1.35471844
      9887,     48081.6600,       2.35004933,       2.00000000,       1.56403900,       1.33106908
     11864,     47235.8700,       2.35004656,       2.00000000,       1.59204200,       1.35490252
     14237,     44527.4600,       2.35004947,       2.00000000,       1.68888100,       1.43731527
     17084,     40820.9900,       2.35004595,       2.00000000,       1.84222600,       1.56782126
     20501,     29127.1400,       2.35004853,       2.00000000,       2.58183800,       2.19726356
     24601,     22040.9100,       2.35003087,       2.00000000,       3.41188300,       2.90369207
     29521,     21335.0400,       2.34999403,       2.00000000,       3.52471000,       2.99976081
     35425,     20414.5100,       2.34997378,       2.00000000,       3.68361300,       3.13502476
     42510,     21031.1100,       2.35005070,       2.00000000,       3.57573200,       3.04311052
     51012,     20879.9500,       2.35004384,       2.00000000,       3.60160800,       3.06514112
     61214,     21010.3800,       2.35004417,       2.00000000,       3.57925000,       3.04611297
     73457,     20895.3100,       2.35004821,       2.00000000,       3.59896800,       3.06288866
     88148,     21061.2400,       2.35004694,       2.00000000,       3.57061100,       3.03875718
    105778,     21175.6200,       2.35005103,       2.00000000,       3.55133100,       3.02234374
    126934,     20640.9100,       2.35004581,       2.00000000,       3.64332100,       3.10063828
    152321,     21050.4300,       2.35004454,       2.00000000,       3.57244200,       3.04031855
    182785,     21125.7800,       2.35004698,       2.00000000,       3.55970300,       3.02947390
    219342,     20703.0300,       2.35004778,       2.00000000,       3.63239200,       3.09133459
    263210,     21337.6100,       2.35004708,       2.00000000,       3.52436500,       2.99939949
    315852,     19977.2200,       2.35000883,       2.00000000,       3.76430200,       3.20364924
    379022,     21046.0300,       2.34953683,       2.00000000,       3.57241600,       3.04095339
    454826,     21200.8600,       2.35004539,       2.00000000,       3.54709500,       3.01874595
    545791,     20934.6700,       2.35004957,       2.00000000,       3.59220300,       3.05712956
    654949,     20853.5400,       2.35004360,       2.00000000,       3.60616900,       3.06902306
    785939,     20780.2400,       2.34993902,       2.00000000,       3.61872900,       3.07984928
    943127,     21148.5000,       2.35004825,       2.00000000,       3.55588100,       3.02621956
   1131752,     20890.0500,       2.35004952,       2.00000000,       3.59987600,       3.06365970
   1358102,     21251.2900,       2.35003331,       2.00000000,       3.53865800,       3.01158114
   1629722,     19958.8500,       2.34955586,       2.00000000,       3.76704000,       3.20659753
   1955666,     21346.7900,       2.35003336,       2.00000000,       3.52282700,       2.99810807
   2346799,     20757.1800,       2.34995226,       2.00000000,       3.62277000,       3.08327115
   2816159,     21022.8500,       2.35003444,       2.00000000,       3.57711300,       3.04430687
   3379391,     21280.6100,       2.35003956,       2.00000000,       3.53379200,       3.00743193
   4055269,     20968.9600,       2.35003932,       2.00000000,       3.58631300,       3.05213020
   4866323,     20944.3800,       2.35001438,       2.00000000,       3.59048400,       3.05571237
   5839588,     20998.4800,       2.35003500,       2.00000000,       3.58126400,       3.04783886
