  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    105825.2500,       2.40001076,       2.20000000,       0.72572800,       0.66524768
         6,    120628.5600,       2.40001601,       2.20000000,       0.63666900,       0.58360936
         7,    123319.2700,       2.40000977,       2.20000000,       0.62277600,       0.57087568
         8,    125328.2900,       2.40001264,       2.20000000,       0.61279400,       0.56172487
        10,    120405.8400,       2.40001507,       2.20000000,       0.63784700,       0.58468941
        12,    129980.2900,       2.39999411,       2.20000000,       0.59085700,       0.54162025
        14,    125927.6400,       2.40000795,       2.20000000,       0.60987600,       0.55905115
        17,    127503.9700,       2.40000760,       2.20000000,       0.60233600,       0.55213959
        20,    129426.3300,       2.40001214,       2.20000000,       0.59339100,       0.54393900
        24,    130765.0900,       2.39991948,       2.20000000,       0.58729300,       0.53836998
        29,    132567.5400,       2.39999638,       2.20000000,       0.57932600,       0.53104963
        35,    102158.2700,       2.40001180,       2.20000000,       0.75177800,       0.68912644
        42,     72290.0000,       2.40001313,       2.20000000,       1.06239300,       0.97385492
        50,     60463.8300,       2.40001430,       2.20000000,       1.27018800,       1.16433206
        60,     59276.6700,       2.39999437,       2.20000000,       1.29561600,       1.18765079
        72,     59283.0100,       2.40001253,       2.20000000,       1.29548700,       1.18752355
        86,     59763.0600,       2.40001154,       2.20000000,       1.28508100,       1.17798525
       103,     59764.6200,       2.40001286,       2.20000000,       1.28504800,       1.17795435
       124,     60077.8800,       2.40000816,       2.20000000,       1.27834500,       1.17181227
       149,     60155.6800,       2.40000257,       2.20000000,       1.27668900,       1.17029699
       179,     60186.0100,       2.40001169,       2.20000000,       1.27605000,       1.16970680
       215,     60073.4500,       2.40001311,       2.20000000,       1.27844200,       1.17189877
       258,     60092.9500,       2.40001152,       2.20000000,       1.27802600,       1.17151821
       310,     60139.6400,       2.40001615,       2.20000000,       1.27703700,       1.17060937
       372,     60176.7900,       2.40001911,       2.20000000,       1.27625000,       1.16988652
       446,     60011.9000,       2.40001320,       2.20000000,       1.27975300,       1.17310047
       535,     60002.6500,       2.40001054,       2.20000000,       1.27994900,       1.17328143
       642,     56612.6300,       2.40001779,       2.20000000,       1.35659800,       1.24353895
       770,     55423.2700,       2.40001589,       2.20000000,       1.38570900,       1.27022484
       924,     52729.5400,       2.40001266,       2.20000000,       1.45649700,       1.33511521
      1109,     42650.4900,       2.40001360,       2.20000000,       1.80069300,       1.65062590
      1331,     31656.8700,       2.40001516,       2.20000000,       2.42602900,       2.22384587
      1597,     25279.9400,       2.40001115,       2.20000000,       3.03799600,       2.78481673
      1916,     22325.9500,       2.40001222,       2.20000000,       3.43996000,       3.15328061
      2299,     22140.5300,       2.40001490,       2.20000000,       3.46877400,       3.17968977
      2759,     22095.2200,       2.40000626,       2.20000000,       3.47587400,       3.18620953
      3311,     22146.6300,       2.40001423,       2.20000000,       3.46781600,       3.17881249
      3973,     22094.8000,       2.39999970,       2.20000000,       3.47593000,       3.18626957
      4768,     22096.3800,       2.40001225,       2.20000000,       3.47570000,       3.18604207
      5722,     22200.0100,       2.40001144,       2.20000000,       3.45947400,       3.17116939
      6866,     22025.4500,       2.40001569,       2.20000000,       3.48689800,       3.19630226
      8239,     22143.4300,       2.40001300,       2.20000000,       3.46831600,       3.17927245
      9887,     22023.2500,       2.40001917,       2.20000000,       3.48725100,       3.19662122
     11864,     22041.7300,       2.40001224,       2.20000000,       3.48431800,       3.19394188
     14237,     21580.9000,       2.40001190,       2.20000000,       3.55872100,       3.26214475
     17084,     20700.9100,       2.40001326,       2.20000000,       3.71000300,       3.40081729
     20501,     19091.3600,       2.40001181,       2.20000000,       4.02278300,       3.68753294
     24601,     18006.5300,       2.39996812,       2.20000000,       4.26506400,       3.90969394
     29521,     17253.9700,       2.40001180,       2.20000000,       4.45117100,       4.08022002
     35425,     16810.3800,       2.39997303,       2.20000000,       4.56855500,       4.18788914
     42510,     16046.3200,       2.39998500,       2.20000000,       4.78611300,       4.38729767
     51012,     15815.7200,       2.40001583,       2.20000000,       4.85596000,       4.45126730
     61214,     15665.0900,       2.39999473,       2.20000000,       4.90261100,       4.49406995
     73457,     15451.7900,       2.40001439,       2.20000000,       4.97032700,       4.55610576
     88148,     15059.1200,       2.39990074,       2.20000000,       5.09968800,       4.67490735
    105778,     15156.5100,       2.40000926,       2.20000000,       5.06714800,       4.64486775
    126934,     15048.8000,       2.39999430,       2.20000000,       5.10338400,       4.67811311
    152321,     14971.6800,       2.40000459,       2.20000000,       5.12969400,       4.70221050
    182785,     14982.5000,       2.40001496,       2.20000000,       5.12601300,       4.69881596
    219342,     15003.6500,       2.40000265,       2.20000000,       5.11876100,       4.69219241
    263210,     14913.8300,       2.40000180,       2.20000000,       5.14958800,       4.72045214
    315852,     14974.3000,       2.39998188,       2.20000000,       5.12874800,       4.70138783
    379022,     14834.3200,       2.40000949,       2.20000000,       5.17720400,       4.74575157
    454826,     14992.6900,       2.40001257,       2.20000000,       5.12252400,       4.69562241
    545791,     14735.2900,       2.40001256,       2.20000000,       5.21200500,       4.77764624
    654949,     14802.0900,       2.40001854,       2.20000000,       5.18849800,       4.75608642
    785939,     14933.6100,       2.40001619,       2.20000000,       5.14279700,       4.71419878
    943127,     14875.5000,       2.40001243,       2.20000000,       5.16287900,       4.73261458
   1131752,     14870.7400,       2.40001301,       2.20000000,       5.16453200,       4.73412868
   1358102,     14867.7200,       2.40001242,       2.20000000,       5.16558100,       4.73509141
   1629722,     14873.6400,       2.40001313,       2.20000000,       5.16352500,       4.73320535
   1955666,     14790.5700,       2.39996658,       2.20000000,       5.19242500,       4.75978920
   2346799,     14865.0900,       2.39999249,       2.20000000,       5.16645200,       4.73592916
   2816159,     14870.8700,       2.40000985,       2.20000000,       5.16448000,       4.73408723
   3379391,     14740.3100,       2.40001162,       2.20000000,       5.21022700,       4.77601830
   4055269,     14841.6500,       2.40001479,       2.20000000,       5.17465900,       4.74340818
   4866323,     14762.5800,       2.40001407,       2.20000000,       5.20237500,       4.76881579
   5839588,     14796.6300,       2.40001072,       2.20000000,       5.19039300,       4.75783901
