  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,     67188.3600,       2.39999564,       2.20000000,       0.28576300,       0.26194989
         6,     67710.0100,       2.39981657,       2.20000000,       0.28354100,       0.25993245
         7,     68078.3200,       2.40001104,       2.20000000,       0.28202900,       0.25852539
         8,     63628.3900,       2.40001225,       2.20000000,       0.30175400,       0.27660642
        10,     68537.1100,       2.40001049,       2.20000000,       0.28014100,       0.25679479
        12,     65103.4500,       2.40001463,       2.20000000,       0.29491700,       0.27033893
        14,     69017.9600,       2.40001423,       2.20000000,       0.27819000,       0.25500599
        17,     69225.0600,       2.40001487,       2.20000000,       0.27735800,       0.25424326
        20,     69394.1500,       2.39999047,       2.20000000,       0.27667900,       0.25362342
        24,     69250.8700,       2.40001674,       2.20000000,       0.27725500,       0.25414864
        29,     60672.5400,       2.40001169,       2.20000000,       0.31645400,       0.29008142
        35,     36995.9800,       2.40000326,       2.20000000,       0.51897600,       0.47572735
        42,     38127.2400,       2.40001091,       2.20000000,       0.50357900,       0.46161199
        50,     37542.4100,       2.40001131,       2.20000000,       0.51142400,       0.46880312
        60,     38471.3200,       2.40001258,       2.20000000,       0.49907600,       0.45748394
        72,     38860.0000,       2.40001489,       2.20000000,       0.49408400,       0.45290752
        86,     38376.6900,       2.40000052,       2.20000000,       0.50030400,       0.45861190
       103,     38443.1300,       2.40001555,       2.20000000,       0.49944200,       0.45781887
       124,     40296.7400,       2.39997276,       2.20000000,       0.47646000,       0.43675996
       149,     40443.8700,       2.39985366,       2.20000000,       0.47470300,       0.43517095
       179,     40586.3300,       2.39986288,       2.20000000,       0.47303900,       0.43364386
       215,     41631.9100,       2.39996844,       2.20000000,       0.46117900,       0.42275297
       258,     41294.6500,       2.40001281,       2.20000000,       0.46495400,       0.42620556
       310,     41320.8400,       2.40001591,       2.20000000,       0.46466000,       0.42593551
       372,     41449.4000,       2.39997547,       2.20000000,       0.46321100,       0.42461442
       446,     41557.3100,       2.40001610,       2.20000000,       0.46201600,       0.42351183
       535,     41732.9300,       2.39998797,       2.20000000,       0.46006600,       0.42172928
       642,     41463.6300,       2.39998167,       2.20000000,       0.46305300,       0.42446849
       770,     34918.9800,       2.40001591,       2.20000000,       0.54984800,       0.50402399
       924,     39670.4200,       2.40000089,       2.20000000,       0.48398800,       0.44365550
      1109,     29811.2200,       2.40001192,       2.20000000,       0.64405600,       0.59038173
      1331,     23903.5700,       2.40001321,       2.20000000,       0.80323200,       0.73629195
