  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    196611.3200,       2.40000463,       2.20000000,       0.19531000,       0.17903382
         6,    203143.5000,       2.39999954,       2.20000000,       0.18902900,       0.17327662
         7,    193259.6700,       2.40001525,       2.20000000,       0.19869800,       0.18213868
         8,    193753.9600,       2.40001475,       2.20000000,       0.19819100,       0.18167397
        10,    224281.5200,       2.40001637,       2.20000000,       0.17121500,       0.15694601
        12,    239731.1300,       2.40001676,       2.20000000,       0.16018100,       0.14683156
        14,    245565.2300,       2.40001388,       2.20000000,       0.15637500,       0.14334292
        17,    223879.2800,       2.40001264,       2.20000000,       0.17152200,       0.15722767
        20,    230799.0500,       2.40001414,       2.20000000,       0.16637900,       0.15251318
        24,    250517.2100,       2.40001158,       2.20000000,       0.15328400,       0.14050966
        29,    262897.3100,       2.40001659,       2.20000000,       0.14606600,       0.13389291
        35,     99162.6500,       2.40001440,       2.20000000,       0.38724500,       0.35497245
        42,     61865.0700,       2.40001736,       2.20000000,       0.62071000,       0.56898005
        50,     62373.2700,       2.40001512,       2.20000000,       0.61565200,       0.56434411
        60,     62371.4400,       2.40001487,       2.20000000,       0.61567000,       0.56436067
        72,     63386.4700,       2.40001312,       2.20000000,       0.60581100,       0.55532371
        86,     62819.6000,       2.40001468,       2.20000000,       0.61127800,       0.56033474
       103,     63290.3300,       2.40001451,       2.20000000,       0.60673100,       0.55616672
       124,     63793.9300,       2.40001662,       2.20000000,       0.60194200,       0.55177634
       149,     63772.4100,       2.40001508,       2.20000000,       0.60214500,       0.55196278
       179,     63416.3400,       2.40001653,       2.20000000,       0.60552600,       0.55506168
       215,     64110.8400,       2.40001552,       2.20000000,       0.59896700,       0.54904953
       258,     63944.1400,       2.40001517,       2.20000000,       0.60052800,       0.55048052
       310,     64546.3100,       2.40001244,       2.20000000,       0.59492500,       0.54534509
       372,     64234.5200,       2.40001970,       2.20000000,       0.59781400,       0.54799167
       446,     64282.6300,       2.39999727,       2.20000000,       0.59736100,       0.54758154
       535,     64451.5300,       2.39999562,       2.20000000,       0.59579500,       0.54614641
       642,     59192.9800,       2.40001396,       2.20000000,       0.64872900,       0.59466479
       770,     56014.8800,       2.40001444,       2.20000000,       0.68553600,       0.62840422
       924,     48313.1300,       2.39999229,       2.20000000,       0.79481200,       0.72858001
      1109,     38138.1200,       2.40001648,       2.20000000,       1.00687400,       0.92296150
      1331,     32783.3800,       2.40001557,       2.20000000,       1.17133300,       1.07371495
      1597,     24139.5800,       2.39998164,       2.20000000,       1.59073600,       1.45818582
      1916,     22502.7900,       2.39999512,       2.20000000,       1.70645200,       1.56425085
      2299,     22080.2100,       2.40001469,       2.20000000,       1.73912500,       1.59418816
      2759,     22074.4000,       2.39988670,       2.20000000,       1.73948900,       1.59460686
      3311,     22062.5100,       2.40001424,       2.20000000,       1.74051900,       1.59546629
      3973,     22062.9400,       2.40001597,       2.20000000,       1.74048700,       1.59543580
      4768,     22031.8500,       2.40001322,       2.20000000,       1.74294100,       1.59768712
      5722,     22054.7900,       2.40001256,       2.20000000,       1.74112700,       1.59602473
      6866,     22031.8300,       2.39999301,       2.20000000,       1.74292800,       1.59768865
