  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    127171.8200,       2.40000511,       2.20000000,       0.60390900,       0.55358207
         6,    130633.2500,       2.40001288,       2.20000000,       0.58790900,       0.53891369
         7,    132034.0500,       2.40001602,       2.20000000,       0.58167200,       0.53319577
         8,    133079.3900,       2.40000445,       2.20000000,       0.57710000,       0.52900735
        10,    134547.7000,       2.39999604,       2.20000000,       0.57080000,       0.52323420
        12,    135454.9500,       2.40001696,       2.20000000,       0.56698200,       0.51972983
        14,    136169.6900,       2.40001418,       2.20000000,       0.56400600,       0.51700244
        17,    130231.7600,       2.40001360,       2.20000000,       0.58972100,       0.54057452
        20,    116833.5000,       2.40001337,       2.20000000,       0.65734900,       0.60256656
        24,    113332.7900,       2.40001471,       2.20000000,       0.67765400,       0.62117903
        29,    111380.0100,       2.40001267,       2.20000000,       0.68953500,       0.63207041
        35,     64962.9400,       2.40001708,       2.20000000,       1.18222100,       1.08369487
        42,     38467.6300,       2.40001555,       2.20000000,       1.99649700,       1.83011039
        50,     27227.0800,       2.40001450,       2.20000000,       2.82073800,       2.58566088
        60,     29310.6600,       2.40001768,       2.20000000,       2.62022600,       2.40185614
        72,     31582.1300,       2.40001318,       2.20000000,       2.43176900,       2.22910935
        86,     28792.3000,       2.40001564,       2.20000000,       2.66739700,       2.44509798
       103,     30689.3300,       2.40001720,       2.20000000,       2.50251700,       2.29395748
       124,     35759.6400,       2.39999798,       2.20000000,       2.14767100,       1.96870008
       149,     32593.8000,       2.40001651,       2.20000000,       2.35629200,       2.15991948
       179,     32468.4400,       2.40001798,       2.20000000,       2.36539200,       2.16825976
       215,     31581.6700,       2.40001509,       2.20000000,       2.43180600,       2.22914149
       258,     31775.6800,       2.40001333,       2.20000000,       2.41695600,       2.21553070
       310,     35689.4700,       2.40001539,       2.20000000,       2.15190900,       1.97257060
       372,     33622.0100,       2.39999306,       2.20000000,       2.28421100,       2.09386614
       446,     32215.2600,       2.40001445,       2.20000000,       2.38397800,       2.18530001
       535,     32227.5700,       2.39998625,       2.20000000,       2.38303900,       2.18446493
       642,     28884.6400,       2.40000144,       2.20000000,       2.65885400,       2.43728138
       770,     30560.6300,       2.40001552,       2.20000000,       2.51305300,       2.30361702
       924,     27719.6500,       2.40001381,       2.20000000,       2.77061400,       2.53971488
      1109,     22759.4100,       2.39998648,       2.20000000,       3.37441000,       3.09322659
      1331,     20085.7200,       2.40001132,       2.20000000,       3.82363100,       3.50497855
      1597,     18745.2700,       2.39998208,       2.20000000,       4.09700400,       3.75561505
      1916,     17469.2300,       2.40000136,       2.20000000,       4.39630300,       4.02994213
      2299,     17239.3800,       2.40000995,       2.20000000,       4.45493500,       4.08367349
      2759,     16846.1400,       2.40000295,       2.20000000,       4.55891300,       4.17899845
      3311,     13727.0900,       2.40001467,       2.20000000,       5.59481000,       5.12854448
      3973,     16777.8200,       2.40001110,       2.20000000,       4.57749400,       4.19601676
      4768,     17946.5700,       2.40001262,       2.20000000,       4.27939100,       3.92275446
      5722,     18000.8300,       2.40001546,       2.20000000,       4.26649800,       3.91093132
      6866,     15713.3300,       2.39999741,       2.20000000,       4.88756300,       4.48027091
      8239,     15786.8300,       2.39999267,       2.20000000,       4.86480100,       4.45941454
      9887,     14914.9700,       2.40000927,       2.20000000,       5.14921000,       4.72009093
     11864,     16907.5300,       2.39985165,       2.20000000,       4.54207400,       4.16382521
     14237,     14051.9500,       2.40000757,       2.20000000,       5.46545100,       5.00998095
     17084,     13659.4700,       2.40001864,       2.20000000,       5.62251600,       5.15393298
     20501,     11412.8000,       2.39977540,       2.20000000,       6.72865800,       6.16851376
     24601,     12351.7500,       2.39995645,       2.20000000,       6.21762900,       5.69959669
     29521,     11683.0800,       2.40001203,       2.20000000,       6.57364200,       6.02580830
     35425,     10646.8900,       2.39990223,       2.20000000,       7.21308100,       6.61226028
     42510,      9254.2100,       2.39995772,       2.20000000,       8.29877500,       7.60734443
     51012,     10885.0800,       2.40000866,       2.20000000,       7.05555500,       6.46756875
     61214,     10796.8200,       2.39996791,       2.20000000,       7.11311100,       6.52043893
     73457,     10511.3200,       2.40001390,       2.20000000,       7.30645100,       6.69754129
     88148,     10775.9800,       2.40000617,       2.20000000,       7.12698300,       6.53305095
    105778,     10950.2500,       2.39978865,       2.20000000,       7.01292400,       6.42907982
    126934,     10755.1600,       2.40001522,       2.20000000,       7.14080200,       6.54569365
    152321,     10770.9400,       2.40001158,       2.20000000,       7.13032900,       6.53610338
    182785,     10838.5000,       2.40001083,       2.20000000,       7.08588000,       6.49536068
    219342,     10749.8400,       2.39998652,       2.20000000,       7.14425100,       6.54893353
    263210,     10883.1400,       2.40001220,       2.20000000,       7.05682400,       6.46872245
    315852,      4194.8100,       2.40001112,       2.20000000,      18.30841700,      16.78263785
    379022,     10889.0800,       2.40001693,       2.20000000,       7.05298500,       6.46519063
    454826,     10993.2500,       2.40000269,       2.20000000,       6.98611300,       6.40392973
    545791,     10787.3000,       2.40001481,       2.20000000,       7.11952500,       6.52619098
    654949,      7821.2200,       2.40001272,       2.20000000,       9.81949300,       9.00115423
    785939,     10890.7600,       2.39996255,       2.20000000,       7.05174300,       6.46419862
    943127,     10931.9400,       2.40001300,       2.20000000,       7.02532400,       6.43984545
   1131752,     10852.7300,       2.40001237,       2.20000000,       7.07659700,       6.48684714
   1358102,     10830.4500,       2.40001328,       2.20000000,       7.09115500,       6.50018946
   1629722,      4120.9100,       2.39997522,       2.20000000,      18.63648200,      17.08361820
   1955666,     10879.1700,       2.40001434,       2.20000000,       7.05940300,       6.47108076
   2346799,     10942.5500,       2.40001365,       2.20000000,       7.01851600,       6.43360307
   2816159,     10921.2200,       2.40001415,       2.20000000,       7.03222200,       6.44616549
   3379391,     10945.2900,       2.40001703,       2.20000000,       7.01676700,       6.43199078
   4055269,     10955.5200,       2.40001406,       2.20000000,       7.01020400,       6.42598269
   4866323,     10884.9300,       2.40001605,       2.20000000,       7.05567100,       6.46765516
   5839588,     10985.6500,       2.39998407,       2.20000000,       6.99089200,       6.40836021
