  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    222628.7100,       2.40001361,       2.20000000,       0.17248500,       0.15811035
         6,    244881.3000,       2.40001795,       2.20000000,       0.15681200,       0.14374326
         7,    250585.5100,       2.40001081,       2.20000000,       0.15324200,       0.14047120
         8,    221480.5800,       2.40001371,       2.20000000,       0.17338000,       0.15893076
        10,    257990.4100,       2.40001351,       2.20000000,       0.14884400,       0.13643957
        12,    251112.4700,       2.40001285,       2.20000000,       0.15292000,       0.14017592
        14,    262843.9300,       2.40001523,       2.20000000,       0.14609500,       0.13391957
        17,    259922.0400,       2.40001734,       2.20000000,       0.14773800,       0.13542552
        20,    252877.9100,       2.40001197,       2.20000000,       0.15185300,       0.13919789
        24,    265344.5700,       2.40001312,       2.20000000,       0.14471800,       0.13265744
        29,    260979.6000,       2.40001567,       2.20000000,       0.14713900,       0.13487654
        35,    128973.7000,       2.39988460,       2.20000000,       0.29772100,       0.27292404
        42,     80792.9300,       2.40001868,       2.20000000,       0.47529300,       0.43568186
        50,     81231.7500,       2.40001550,       2.20000000,       0.47272500,       0.43332845
        60,     81150.6500,       2.40001790,       2.20000000,       0.47319700,       0.43376068
        72,     81200.5900,       2.40001684,       2.20000000,       0.47290600,       0.43349413
        86,     81069.1100,       2.39999906,       2.20000000,       0.47367000,       0.43419767
       103,     81158.6700,       2.40001388,       2.20000000,       0.47315000,       0.43371832
       124,     81333.2700,       2.40001108,       2.20000000,       0.47213400,       0.43278750
       149,     81344.1300,       2.39999844,       2.20000000,       0.47206800,       0.43272928
       179,     81171.5400,       2.40001535,       2.20000000,       0.47307500,       0.43364931
       215,     81436.1100,       2.40001408,       2.20000000,       0.47153800,       0.43224063
       258,     81364.6500,       2.39991911,       2.20000000,       0.47193400,       0.43262075
       310,     81355.5800,       2.39997515,       2.20000000,       0.47199700,       0.43266840
       372,     81111.7600,       2.40001058,       2.20000000,       0.47342300,       0.43396917
       446,     81033.4500,       2.40000052,       2.20000000,       0.47387800,       0.43438807
       535,     81420.8200,       2.40000993,       2.20000000,       0.47162600,       0.43232204
       642,     81435.2100,       2.39995604,       2.20000000,       0.47153200,       0.43224558
       770,     80204.7100,       2.40001921,       2.20000000,       0.47877900,       0.43887724
       924,     77721.8500,       2.40001473,       2.20000000,       0.49407300,       0.45289747
      1109,     61030.9400,       2.40001787,       2.20000000,       0.62919400,       0.57675687
      1331,     52729.3400,       2.40001359,       2.20000000,       0.72825100,       0.66755964
      1597,     48446.2300,       2.39985650,       2.20000000,       0.79258400,       0.72657878
      1916,     44553.1400,       2.39982573,       2.20000000,       0.86183000,       0.79006820
      2299,     44044.4800,       2.40001952,       2.20000000,       0.87185300,       0.79919208
      2759,     43817.0100,       2.40001463,       2.20000000,       0.87637700,       0.80334068
      3311,     43819.5600,       2.39998570,       2.20000000,       0.87631600,       0.80329445
      3973,     43825.5400,       2.40001678,       2.20000000,       0.87620700,       0.80318413
      4768,     43830.7700,       2.40001461,       2.20000000,       0.87610200,       0.80308861
