  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    106764.7400,       2.35004431,       2.00000000,       0.35218300,       0.29972456
         6,    109896.7100,       2.35004821,       2.00000000,       0.34214600,       0.29118211
         7,    112244.6600,       2.35004482,       2.00000000,       0.33498900,       0.28509158
         8,    114030.5300,       2.35004604,       2.00000000,       0.32974300,       0.28062684
        10,    116632.9800,       2.35004571,       2.00000000,       0.32238500,       0.27436488
        12,    118214.8200,       2.35004961,       2.00000000,       0.31807200,       0.27069386
        14,    119551.6100,       2.35004877,       2.00000000,       0.31451500,       0.26766679
        17,    120969.3700,       2.35001546,       2.00000000,       0.31082500,       0.26453018
        20,    121973.8100,       2.35004679,       2.00000000,       0.30826900,       0.26235137
        24,    119793.2000,       2.35004242,       2.00000000,       0.31388000,       0.26712709
        29,    118501.3800,       2.35004788,       2.00000000,       0.31730200,       0.27003875
        35,     92434.2700,       2.35004552,       2.00000000,       0.40678300,       0.34619159
        42,     60861.1000,       2.35004628,       2.00000000,       0.61781200,       0.52578709
        50,     61060.7600,       2.35004717,       2.00000000,       0.61579200,       0.52406778
        60,     61508.5300,       2.35004520,       2.00000000,       0.61130900,       0.52025297
        72,     62280.8600,       2.35004543,       2.00000000,       0.60372800,       0.51380113
        86,     62222.7500,       2.34958556,       2.00000000,       0.60417400,       0.51428133
       103,     62512.9400,       2.35004694,       2.00000000,       0.60148800,       0.51189446
       124,     62853.2500,       2.35004698,       2.00000000,       0.59823100,       0.50912259
       149,     62943.0300,       2.35004708,       2.00000000,       0.59737800,       0.50839662
       179,     63076.8000,       2.35002485,       2.00000000,       0.59610500,       0.50731804
       215,     61141.0700,       2.35004585,       2.00000000,       0.61498300,       0.52337957
       258,     63178.6400,       2.35001954,       2.00000000,       0.59514300,       0.50650047
       310,     62225.1300,       2.35004788,       2.00000000,       0.60427000,       0.51426186
       372,     60489.6100,       2.35004877,       2.00000000,       0.62160700,       0.52901626
       446,     57496.4500,       2.35004623,       2.00000000,       0.65396600,       0.55655586
       535,     55993.8800,       2.35004496,       2.00000000,       0.67151500,       0.57149119
       642,     54918.7300,       2.35004727,       2.00000000,       0.68466200,       0.58267934
       770,     52987.0700,       2.35004416,       2.00000000,       0.70962000,       0.60392057
       924,     52257.6200,       2.35004740,       2.00000000,       0.71952700,       0.61235105
      1109,     51436.7700,       2.35004905,       2.00000000,       0.73101000,       0.62212319
      1331,     51024.8500,       2.35005027,       2.00000000,       0.73691200,       0.62714573
      1597,     51342.7800,       2.35002048,       2.00000000,       0.73233900,       0.62326180
      1916,     51169.1600,       2.35004976,       2.00000000,       0.73483300,       0.62537655
      2299,     51105.1200,       2.35004595,       2.00000000,       0.73575300,       0.62616052
      2759,     49306.8500,       2.34964556,       2.00000000,       0.76245700,       0.64899746
      3311,     51168.7400,       2.35004567,       2.00000000,       0.73483800,       0.62538189
      3973,     51196.4500,       2.35004450,       2.00000000,       0.73444000,       0.62504348
      4768,     51220.0800,       2.35004492,       2.00000000,       0.73410100,       0.62475487
      5722,     51786.6900,       2.35004369,       2.00000000,       0.72606900,       0.61791957
      6866,     52172.2700,       2.35003369,       2.00000000,       0.72070000,       0.61335291
      8239,     52311.4200,       2.35004618,       2.00000000,       0.71878600,       0.61172074
      9887,     54225.4000,       2.35004863,       2.00000000,       0.69341600,       0.59012907
     11864,     48129.2800,       2.35004571,       2.00000000,       0.78124400,       0.66487558
     14237,     44275.7800,       2.35004698,       2.00000000,       0.84924000,       0.72274300
     17084,     38120.9900,       2.35004548,       2.00000000,       0.98635200,       0.83943227
     20501,     28920.1400,       2.35004407,       2.00000000,       1.30015700,       1.10649585
     24601,     24748.9300,       2.35004158,       2.00000000,       1.51928500,       1.29298563
     29521,     23157.5600,       2.35004210,       2.00000000,       1.62368900,       1.38183823
     35425,     22851.0100,       2.35001127,       2.00000000,       1.64544900,       1.40037541
     42510,     23132.4700,       2.35004675,       2.00000000,       1.62545300,       1.38333674
     51012,     22702.1700,       2.35004844,       2.00000000,       1.65626300,       1.40955648
     61214,     23016.4000,       2.35004520,       2.00000000,       1.63364900,       1.39031283
     73457,     23172.2600,       2.35004365,       2.00000000,       1.62266000,       1.38096158
     88148,     22964.1200,       2.35004463,       2.00000000,       1.63736800,       1.39347821
    105778,     22843.9000,       2.35001386,       2.00000000,       1.64596300,       1.40081131
    126934,     23073.1800,       2.35004308,       2.00000000,       1.62962800,       1.38689202
    152321,     22958.3700,       2.35004408,       2.00000000,       1.63777700,       1.39382662
    182785,     22912.1900,       2.35004464,       2.00000000,       1.64107900,       1.39663645
    219342,     23061.9900,       2.35004233,       2.00000000,       1.63041800,       1.38756479
    263210,     23025.4200,       2.35004322,       2.00000000,       1.63300800,       1.38976848
    315852,     23018.4800,       2.35004562,       2.00000000,       1.63350200,       1.39018748
    379022,     23003.2200,       2.35002683,       2.00000000,       1.63457200,       1.39110923
    454826,     23011.8600,       2.35004665,       2.00000000,       1.63397200,       1.39058686
    545791,     23045.1000,       2.35003594,       2.00000000,       1.63160800,       1.38858132
    654949,     22977.0300,       2.35004482,       2.00000000,       1.63644800,       1.39269514
    785939,     23023.2800,       2.34960229,       2.00000000,       1.63285300,       1.38989735
    943127,     23019.7000,       2.35004656,       2.00000000,       1.63341600,       1.39011373
   1131752,     23066.2200,       2.35004637,       2.00000000,       1.63012100,       1.38730965
   1358102,     23045.2400,       2.35004135,       2.00000000,       1.63160200,       1.38857302
   1629722,     23084.4200,       2.35004210,       2.00000000,       1.62883300,       1.38621602
   1955666,     23016.7900,       2.35004698,       2.00000000,       1.63362200,       1.39028880
