  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    217037.1600,       2.39991100,       2.20000000,       0.26538300,       0.24327677
         6,    227150.0900,       2.40001272,       2.20000000,       0.25357800,       0.23244527
         7,    233809.3200,       2.40001130,       2.20000000,       0.24635600,       0.22582527
         8,    222989.0900,       2.39998081,       2.20000000,       0.25830700,       0.23678331
        10,    246801.2300,       2.39992476,       2.20000000,       0.23337900,       0.21393746
        12,    252272.0600,       2.39999657,       2.20000000,       0.22832500,       0.20929822
        14,    256425.5100,       2.39999030,       2.20000000,       0.22462600,       0.20590800
        17,    237416.7300,       2.39997913,       2.20000000,       0.24260900,       0.22239352
        20,    263544.3700,       2.39998165,       2.20000000,       0.21855700,       0.20034545
        24,    266465.9300,       2.40001622,       2.20000000,       0.21616400,       0.19814899
        29,    261135.2900,       2.40001336,       2.20000000,       0.22057700,       0.20219446
        35,    180227.4300,       2.39999756,       2.20000000,       0.31959600,       0.29296330
        42,     95726.1400,       2.39999257,       2.20000000,       0.60171500,       0.55157379
        50,     93977.0700,       2.39988428,       2.20000000,       0.61288600,       0.56183926
        60,     95084.9000,       2.39979424,       2.20000000,       0.60572200,       0.55529277
        72,     93550.4700,       2.40001538,       2.20000000,       0.61571400,       0.56440088
        86,     94711.2000,       2.40000455,       2.20000000,       0.60816600,       0.55748444
       103,     94539.0500,       2.40001352,       2.20000000,       0.60927600,       0.55849985
       124,     93521.5100,       2.40001491,       2.20000000,       0.61590500,       0.56457608
       149,     94593.6000,       2.39981139,       2.20000000,       0.60887300,       0.55817745
       179,     95265.0500,       2.39995730,       2.20000000,       0.60461800,       0.55424303
       215,     95032.7800,       2.39997697,       2.20000000,       0.60610100,       0.55559792
       258,     94907.5700,       2.39988477,       2.20000000,       0.60687700,       0.55633063
       310,     95467.9700,       2.39999764,       2.20000000,       0.60334300,       0.55306496
       372,     95173.0900,       2.39987504,       2.20000000,       0.60518200,       0.55477905
       446,     95714.0600,       2.39983848,       2.20000000,       0.60175200,       0.55164312
       535,     96025.4900,       2.40001617,       2.20000000,       0.59984500,       0.54985421
       642,     96073.7000,       2.40001300,       2.20000000,       0.59954300,       0.54957811
       770,     91624.0600,       2.40001598,       2.20000000,       0.62866000,       0.57626783
       924,     74054.6200,       2.40001175,       2.20000000,       0.77780800,       0.71298718
      1109,     56567.6900,       2.39986446,       2.20000000,       1.01819200,       0.93339538
      1331,     44620.8800,       2.40001612,       2.20000000,       1.29088400,       1.18330238
      1597,     36731.5200,       2.40000509,       2.20000000,       1.56813900,       1.43745770
      1916,     33394.5800,       2.40001693,       2.20000000,       1.72484300,       1.58109493
      2299,     32832.2600,       2.40001316,       2.20000000,       1.75438200,       1.60817468
      2759,     32777.0700,       2.40001367,       2.20000000,       1.75733600,       1.61088216
      3311,     32779.5000,       2.40001314,       2.20000000,       1.75720600,       1.61076335
      3973,     32786.7000,       2.40001740,       2.20000000,       1.75682300,       1.61040941
      4768,     32785.4000,       2.40001109,       2.20000000,       1.75688800,       1.61047323
      5722,     32772.5900,       2.39985014,       2.20000000,       1.75745700,       1.61110285
      6866,     32815.7700,       2.39998460,       2.20000000,       1.75524200,       1.60898216
      8239,     32793.5500,       2.40001331,       2.20000000,       1.75645300,       1.61007299
      9887,     32785.9700,       2.40001178,       2.20000000,       1.75685800,       1.61044526
     11864,     32800.8100,       2.40001310,       2.20000000,       1.75606400,       1.60971655
     14237,     32796.7300,       2.40001604,       2.20000000,       1.75628400,       1.60991624
     17084,     32762.7100,       2.40001523,       2.20000000,       1.75810700,       1.61158786
     20501,     32528.2000,       2.40001637,       2.20000000,       1.77078300,       1.62320668
     24601,     31712.7000,       2.40001191,       2.20000000,       1.81631600,       1.66494807
     29521,     29556.7100,       2.40001603,       2.20000000,       1.94880900,       1.78639632
     35425,     27256.5100,       2.40001088,       2.20000000,       2.11326600,       1.93715172
     42510,     25358.9000,       2.40001342,       2.20000000,       2.27140500,       2.08210961
     51012,     24013.1300,       2.40001706,       2.20000000,       2.39870500,       2.19879729
     61214,     23017.3800,       2.40000875,       2.20000000,       2.50246500,       2.29391789
     73457,     22191.2400,       2.40001372,       2.20000000,       2.59563400,       2.37931756
     88148,     21628.8200,       2.40001439,       2.20000000,       2.66312900,       2.44118695
    105778,     21195.0500,       2.40000232,       2.20000000,       2.71761800,       2.49114742
    126934,     20776.9300,       2.40001458,       2.20000000,       2.77232200,       2.54127973
    152321,     20797.0400,       2.40001259,       2.20000000,       2.76963900,       2.53882243
    182785,     20506.6400,       2.40001469,       2.20000000,       2.80886400,       2.57477624
    219342,     20469.2900,       2.40001235,       2.20000000,       2.81398600,       2.57947389
    263210,     20486.5100,       2.39997344,       2.20000000,       2.81157500,       2.57730561
    315852,     20308.3300,       2.39998310,       2.20000000,       2.83625400,       2.59991780
    379022,     20230.1300,       2.40001686,       2.20000000,       2.84725800,       2.60996817
    454826,     20253.4300,       2.40001492,       2.20000000,       2.84398000,       2.60696546
    545791,     20235.6400,       2.40001057,       2.20000000,       2.84647600,       2.60925818
    654949,     20153.0200,       2.39999740,       2.20000000,       2.85812900,       2.61995443
    785939,     20179.1600,       2.39995912,       2.20000000,       2.85438100,       2.61656049
    943127,     20024.9200,       2.39989408,       2.20000000,       2.87628900,       2.63671461
   1131752,     20167.1900,       2.40001521,       2.20000000,       2.85614300,       2.61811449
   1358102,     20146.1400,       2.40001491,       2.20000000,       2.85912600,       2.62084922
   1629722,     20133.8300,       2.40001294,       2.20000000,       2.86087100,       2.62245095
   1955666,     20093.1400,       2.40001732,       2.20000000,       2.86667100,       2.62776278
