  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    201606.5800,       2.40000914,       2.20000000,       0.09523500,       0.08729842
         6,    211758.5500,       2.40001100,       2.20000000,       0.09067000,       0.08311379
         7,    217828.1900,       2.40001694,       2.20000000,       0.08814300,       0.08079718
         8,    223343.9000,       2.40001190,       2.20000000,       0.08596700,       0.07880269
        10,    235362.8100,       2.39994720,       2.20000000,       0.08157400,       0.07477781
        12,    239631.9600,       2.40001589,       2.20000000,       0.08012300,       0.07344560
        14,    245766.8200,       2.39999566,       2.20000000,       0.07812300,       0.07161288
        17,    252134.5200,       2.40001419,       2.20000000,       0.07615000,       0.06980375
        20,    240467.3400,       2.39986727,       2.20000000,       0.07984000,       0.07319071
        24,    259406.4300,       2.40000617,       2.20000000,       0.07401500,       0.06784691
        29,    241202.5800,       2.39998874,       2.20000000,       0.07960100,       0.07296793
        35,    135167.2700,       2.39999709,       2.20000000,       0.14204600,       0.13020899
        42,    101557.0400,       2.40001651,       2.20000000,       0.18905800,       0.17330197
        50,    100719.1200,       2.40001797,       2.20000000,       0.19063100,       0.17474378
        60,    105036.8500,       2.40000513,       2.20000000,       0.18279300,       0.16755989
        72,    100696.4500,       2.40001388,       2.20000000,       0.19067300,       0.17478257
        86,    106077.3500,       2.40001949,       2.20000000,       0.18100100,       0.16591624
       103,    106447.9400,       2.40001143,       2.20000000,       0.18037100,       0.16533930
       124,    112093.9100,       2.40001531,       2.20000000,       0.17128600,       0.15701117
       149,    111568.4700,       2.39994877,       2.20000000,       0.17208800,       0.15775070
       179,    114430.8000,       2.39995560,       2.20000000,       0.16778400,       0.15380485
       215,    110456.4200,       2.40001856,       2.20000000,       0.17382600,       0.15933927
       258,    105693.0000,       2.40000170,       2.20000000,       0.18165800,       0.16651972
       310,    102247.0200,       2.39995843,       2.20000000,       0.18777700,       0.17213190
       372,    101731.1100,       2.39999981,       2.20000000,       0.18873300,       0.17300526
       446,    100846.4100,       2.40001565,       2.20000000,       0.19039000,       0.17452303
       535,    100352.3000,       2.40001372,       2.20000000,       0.19132700,       0.17538208
       642,     98713.4900,       2.40001608,       2.20000000,       0.19450400,       0.17829414
       770,     81091.2900,       2.40001469,       2.20000000,       0.23677200,       0.21703967
       924,     58083.5200,       2.39983687,       2.20000000,       0.33053600,       0.30301193
      1109,     42077.9900,       2.40001449,       2.20000000,       0.45629800,       0.41827064
      1331,     29629.7900,       2.39998478,       2.20000000,       0.64799200,       0.59399643
      1597,     25749.7800,       2.39999703,       2.20000000,       0.74563600,       0.68350051
      1916,     22822.5500,       2.39999405,       2.20000000,       0.84127100,       0.77116700
      2299,     22314.8800,       2.39999053,       2.20000000,       0.86040900,       0.78871136
      2759,     22392.9100,       2.40001324,       2.20000000,       0.85741900,       0.78596308
      3311,     22309.0000,       2.39999681,       2.20000000,       0.86063800,       0.78891921
      3973,     22309.9700,       2.40001260,       2.20000000,       0.86060600,       0.78888469
      4768,     22305.4700,       2.40001388,       2.20000000,       0.86078000,       0.78904377
      5722,     22310.9600,       2.40001229,       2.20000000,       0.86056800,       0.78884996
      6866,     22310.8000,       2.40001268,       2.20000000,       0.86057400,       0.78885533
      8239,     22308.5800,       2.40001024,       2.20000000,       0.86065900,       0.78893405
      9887,     22311.2400,       2.40001449,       2.20000000,       0.86055800,       0.78884007
     11864,     22312.9100,       2.40001309,       2.20000000,       0.86049300,       0.78878095
     14237,     22311.5300,       2.40001414,       2.20000000,       0.86054700,       0.78883010
     17084,     22305.2400,       2.39999343,       2.20000000,       0.86078200,       0.78905233
     20501,     22300.1200,       2.39974673,       2.20000000,       0.86089100,       0.78923337
     24601,     22078.8000,       2.40001494,       2.20000000,       0.86961800,       0.79714487
     29521,     20948.1600,       2.40001525,       2.20000000,       0.91655400,       0.84016916
     35425,     18677.3000,       2.40001464,       2.20000000,       1.02799200,       0.94232025
     42510,     17045.4400,       2.40001219,       2.20000000,       1.12640700,       1.03253451
     51012,     16024.5100,       2.40001490,       2.20000000,       1.19817200,       1.09831752
     61214,     15164.0800,       2.40001525,       2.20000000,       1.26615800,       1.16063746
     73457,     14487.2000,       2.40001572,       2.20000000,       1.32531600,       1.21486504
     88148,     13998.2800,       2.39999474,       2.20000000,       1.37159400,       1.25729726
    105778,     13606.4100,       2.40001292,       2.20000000,       1.41110700,       1.29350779
    126934,     13241.1800,       2.40000065,       2.20000000,       1.45002200,       1.32918647
    152321,     13050.0400,       2.40001424,       2.20000000,       1.47126800,       1.34865433
    182785,     12845.6900,       2.40001649,       2.20000000,       1.49467500,       1.37010934
    219342,     12772.0100,       2.39997685,       2.20000000,       1.50327300,       1.37801354
    263210,     12699.7300,       2.40001160,       2.20000000,       1.51185100,       1.38585672
    315852,     12687.6600,       2.40001013,       2.20000000,       1.51328800,       1.38717481
    379022,     12648.6800,       2.39979337,       2.20000000,       1.51781400,       1.39144930
    454826,     12616.4000,       2.40001356,       2.20000000,       1.52183700,       1.39500937
    545791,     12614.2900,       2.39999288,       2.20000000,       1.52207800,       1.39524231
    654949,     12557.5000,       2.40001551,       2.20000000,       1.52897700,       1.40155319
    785939,     12567.7800,       2.40000544,       2.20000000,       1.52772000,       1.40040682
    943127,     12553.9200,       2.39997740,       2.20000000,       1.52938900,       1.40195312
   1131752,     12559.1700,       2.39972865,       2.20000000,       1.52859100,       1.40136686
   1358102,     12559.1500,       2.40001130,       2.20000000,       1.52877300,       1.40136865
   1629722,     12563.1500,       2.40002031,       2.20000000,       1.52829200,       1.40092248
   1955666,     12560.4400,       2.40001663,       2.20000000,       1.52862000,       1.40122529
